	Phosphatidylethanolamine Profile;  PE																																																																																																																																								
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																																																																																																																								
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																																																																																																								
	ND = not detected																																																																																																																																								
																																																																																																																																									
																																																																																																																																									
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																																																																																																																							
Sample ID		PE 28:0_16.51	PE 29:0_18.67	PE 30:1_14.35 | 14:0_16:1	PE 31:1_19.98	PE 32:1_18.12 | 16:0_16:1	PE 32:1_18.12 | 14:0_18:1	PE 32:2_14.90 | 16:1/16:1	PE 32:3_10.92	PE 33:0_25.69	PE 33:1_23.69	PE 34:1_22.26 | 16:0/18:1	PE 34:2_18.80 | 16:1_18:1	PE 34:2_19.26 | 16:0_18:2	PE 34:4_15.00 | 14:0_20:4	PE 34:4_15.00 | 16:0_18:4	PE 34:5_13.22 | 14:0/20:5	PE 35:1_26.33	PE 35:5_14.25 | 15:0_20:5	PE 35:5_14.66 | 15:0_20:5	PE 36:1_25.69 | 18:0_18:1	PE 36:1_25.69 | 16:0_20:1	PE 36:2_22.92 | 18:1/18:1	PE 36:3_19.83 | 18:1_18:2	PE 36:4_19.05 | 16:0/20:4	PE 36:5_16.39 | 16:0/20:5	PE 36:6_13.72 | 16:1_20:5	PE 36:6_14.42 | 14:0/22:6	PE 37:2_27.08	PE 37:4_21.19 | 17:0_20:4	PE 37:5_17.98 | 17:0/20:5	PE 37:5_18.57 | 17:0_20:5	PE 37:6_15.22 | 17:1_20:5	PE 37:6_16.17 | 15:0/22:6	PE 37:6_16.17 | 17:1/20:5	PE 37:7_19.03	PE 37:7_20.30	PE 38:1_27.08 | 18:0_20:1	PE 38:1_27.08 | 16:0_22:1	PE 38:2_25.91 | 18:1_20:1	PE 38:3_23.71 | 18:2_20:1	PE 38:3_23.71 | 18:1_20:2	PE 38:4_23.28 | 18:0/20:4	PE 38:5_19.66 | 18:1/20:4	PE 38:5_20.76 | 18:0/20:5	PE 38:5_20.76 | 16:0/22:5	PE 38:6_17.01 | 18:1/20:5	PE 38:6_18.23 | 16:0/22:6	PE 38:7_14.42 | 18:2/20:5	PE 38:7_15.01 | 16:1/22:6	PE 38:7_15.92 | 16:1_22:6	PE 39:3_27.67	PE 39:4_25.10 | 19:0_20:4	PE 39:5_21.60 | 19:1_20:4	PE 39:5_21.60 | 17:0_22:5	PE 39:5_22.12 | 19:0_20:5	PE 39:5_22.12 | 17:0_22:5	PE 39:5_22.87 | 19:0_20:5	PE 39:5_22.87 | 17:0_22:5	PE 39:6_19.05 | 19:1/20:5	PE 39:6_19.67 | 17:0/22:6	PE 39:6_20.37 | 17:0/22:6	PE 39:7_16.78 | 17:1/22:6	PE 39:7_17.35 | 17:1_22:6	PE 39:7_18.01 | 17:1_22:6	PE 39:7_23.07	PE 40:1_27.91 | 18:0_22:1	PE 40:2_27.21 | 18:1_22:1	PE 40:2_27.21 | 20:1/20:1	PE 40:3_26.30 | 18:2_22:1	PE 40:4_26.19 | 20:0/20:4	PE 40:5_23.55 | 20:1/20:4	PE 40:5_23.55 | 18:0_22:5	PE 40:5_24.82 | 18:0/22:5	PE 40:5_24.82 | 20:0_20:5	PE 40:6_21.07 | 20:1/20:5	PE 40:6_21.60 | 18:0/22:6	PE 40:6_21.60 | 18:1/22:5	PE 40:6_22.48 | 18:0/22:6	PE 40:7_18.85 | 18:1/22:6	PE 40:8_15.90 | 18:2/22:6	PE 40:9_13.83 | 18:3_22:6	PE 40:10_12.49 | 20:5/20:5	PE 41:2_28.32	PE 41:3_28.28	PE 41:5_25.25 | 20:4_21:1	PE 41:6_21.07	PE 41:6_23.37 | 19:1_22:5	PE 41:6_23.85 | 19:0/22:6	PE 41:6_24.46 | 19:0/22:6	PE 41:6_26.07	PE 41:6_26.89	PE 41:7_18.10	PE 41:7_20.82 | 19:1/22:6	PE 41:7_21.48 | 19:1_22:6	PE 41:9_13.48	PE 41:9_14.14	PE 42:2_27.96 | 20:1_22:1	PE 42:2_27.96 | 18:1_24:1	PE 42:3_27.44 | 20:2_22:1	PE 42:4_27.41 | 20:4_22:0	PE 42:5_26.21 | 22:1/20:4	PE 42:5_26.76 | 20:5_22:0	PE 42:5_26.76 | 20:0_22:5	PE 42:6_23.89 | 20:1/22:5	PE 42:6_24.91 | 22:1/20:5	PE 42:6_24.91 | 20:1/22:5	PE 42:6_25.80 | 20:0/22:6	PE 42:7_22.78 | 20:1/22:6	PE 42:8_19.69 | 20:2/22:6	PE 42:9_16.92 | 20:3_22:6	PE 42:10_15.48 | 20:4_22:6	PE 42:10_15.48 | 20:5_22:5	PE 42:11_13.56 | 20:5/22:6	PE 43:5_26.87 | 20:4_23:1	PE 43:5_27.30 | 20:5_23:0	PE 43:6_26.03 | 20:5_23:1	PE 43:7_24.62 | 21:1_22:6	PE 43:7_24.89 | 21:1_22:6	PE 43:7_26.75	PE 43:8_26.62	PE 43:10_15.46	PE 43:11_13.02	PE 43:11_13.66	PE 44:2_28.50 | 22:1/22:1	PE 44:5_27.37 | 20:4_24:1	PE 44:6_26.28 | 22:1_22:5	PE 44:6_26.75 | 20:5_24:1	PE 44:6_26.75 | 22:1/22:5	PE 44:6_27.19 | 22:0_22:6	PE 44:7_25.85 | 22:1/22:6	PE 44:8_23.58 | 22:2_22:6	PE 44:9_17.07	PE 44:10_16.67	PE 44:12_14.83 | 22:6/22:6	PE 44:12_16.55	PE 44:12_18.10
JWL0157		0.15	ND	ND	0.92	ND	ND	ND	ND	ND	ND	0.15	ND	0.50	0.16	0.14	0.57	ND	0.13	0.27	0.31	0.04	0.43	1.19	5.60	25.22	0.37	1.75	ND	0.95	0.79	1.32	ND	2.24	1.65	ND	ND	0.16	ND	1.63	0.46	0.10	12.82	13.59	26.25	ND	15.26	39.57	0.65	0.86	ND	0.11	0.64	0.47	0.06	0.30	0.18	0.53	0.06	0.48	7.17	8.09	0.78	0.25	0.56	ND	ND	0.66	0.41	0.55	0.93	4.42	0.73	3.14	3.44	11.20	7.17	1.42	47.96	76.26	2.66	0.28	0.40	0.26	ND	0.22	ND	0.18	1.41	3.06	ND	ND	ND	5.16	0.59	0.40	6.79	0.20	0.11	0.03	0.13	4.46	0.27	0.07	ND	15.07	2.72	3.56	32.36	9.47	0.87	0.31	ND	1.55	ND	0.18	0.53	3.06	0.80	0.83	ND	50.33	ND	18.35	ND	1.03	0.39	3.56	1.68	0.69	28.58	1.11	ND	ND	2.51	0.21	1.82
JWL0159		ND	ND	ND	1.06	ND	ND	ND	ND	ND	ND	1.46	ND	2.95	1.16	1.18	4.18	ND	0.67	1.10	3.00	1.12	2.57	9.05	17.32	157.50	5.01	8.01	ND	2.86	4.71	4.73	5.91	12.12	14.96	0.59	1.05	1.47	0.25	8.61	2.35	1.12	58.55	199.48	117.11	ND	88.11	144.57	4.18	7.30	ND	ND	1.99	1.67	0.26	3.01	0.96	1.56	0.30	ND	78.23	31.73	2.80	1.37	3.09	ND	0.36	2.04	1.39	2.39	3.42	18.51	7.32	8.77	13.54	40.42	30.36	4.31	217.20	304.93	15.44	1.22	4.75	1.01	ND	1.18	44.86	0.39	7.45	13.43	ND	ND	ND	14.95	2.15	2.04	57.88	1.35	0.83	0.60	ND	15.55	2.14	0.32	6.68	39.58	5.68	11.21	91.45	89.99	2.77	2.14	0.69	10.05	1.27	0.93	2.75	10.08	1.91	0.55	1.24	ND	ND	ND	0.21	6.54	2.31	23.73	2.75	3.67	89.66	4.54	ND	26.88	9.74	0.65	5.79
JWL0166		ND	ND	ND	ND	0.23	0.05	0.10	ND	ND	0.19	0.84	0.17	0.32	0.19	0.24	2.05	ND	0.07	0.38	0.41	0.10	0.39	ND	4.72	31.01	ND	5.85	ND	0.70	1.41	3.95	ND	2.45	0.86	0.09	ND	0.05	0.30	0.38	ND	ND	6.59	ND	34.29	ND	4.03	79.64	0.33	1.47	0.78	ND	0.12	0.02	0.10	0.81	0.05	0.54	0.15	ND	4.02	16.53	0.57	0.24	0.81	ND	ND	0.14	0.03	ND	0.29	1.08	0.79	2.65	1.92	8.15	3.50	0.37	49.59	35.29	2.06	0.32	0.20	ND	ND	ND	1.85	ND	1.94	2.72	ND	ND	ND	1.29	0.38	1.02	4.66	ND	ND	0.09	0.20	1.23	1.33	0.13	ND	6.99	ND	3.77	18.31	2.92	0.43	ND	ND	1.52	ND	0.15	0.11	0.34	ND	0.25	ND	ND	ND	45.75	ND	0.82	ND	8.49	ND	3.40	11.33	0.17	ND	ND	2.35	ND	8.32
JWL0167		ND	ND	ND	ND	ND	ND	ND	ND	ND	1.46	0.70	ND	ND	0.35	0.19	1.87	ND	ND	3.32	0.42	ND	0.28	ND	5.06	195.28	ND	21.46	0.22	2.24	1.29	9.70	ND	15.62	2.60	ND	ND	ND	ND	0.39	ND	ND	11.74	2.02	32.66	4.40	ND	97.16	2.65	0.81	5.21	ND	0.58	ND	ND	1.40	0.43	1.14	0.55	ND	5.88	31.42	ND	0.92	1.26	ND	ND	ND	ND	ND	0.63	1.29	0.66	8.65	3.59	8.95	ND	ND	78.05	25.83	12.43	0.33	ND	ND	ND	ND	ND	ND	2.69	5.66	0.33	ND	ND	1.36	ND	ND	ND	ND	ND	ND	0.32	1.05	1.47	0.53	ND	4.54	1.35	4.93	9.47	10.31	0.76	ND	ND	2.27	ND	0.44	ND	0.56	ND	0.37	0.48	ND	ND	ND	ND	0.45	ND	1.61	0.85	2.89	9.07	ND	ND	ND	5.87	0.75	13.04
JWL0168		ND	ND	0.18	ND	0.81	ND	2.60	0.11	ND	0.87	ND	2.01	ND	0.22	ND	1.44	0.94	ND	0.19	ND	ND	0.39	ND	1.90	7.16	0.38	0.84	ND	0.31	ND	0.70	ND	0.47	0.05	0.06	ND	ND	ND	0.52	ND	ND	2.05	3.06	4.12	1.02	7.12	23.74	ND	0.59	0.14	ND	0.07	0.13	0.03	ND	ND	0.12	0.06	0.29	0.37	3.45	0.23	ND	ND	ND	ND	0.22	0.08	ND	ND	2.59	ND	0.64	0.15	7.00	ND	ND	14.68	47.29	0.26	ND	0.07	ND	ND	ND	0.08	ND	0.43	0.77	0.06	ND	ND	2.82	ND	0.44	0.98	ND	ND	ND	ND	3.81	ND	ND	0.44	7.55	1.30	ND	22.50	1.87	0.45	0.15	0.02	0.50	0.12	ND	ND	0.47	ND	0.05	ND	ND	2.75	10.67	ND	0.23	0.26	0.71	1.23	ND	21.72	ND	0.06	0.37	1.18	0.97	ND
JWL0169		ND	ND	ND	ND	ND	ND	ND	ND	0.17	0.11	ND	ND	ND	ND	ND	ND	0.46	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.06	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0170		ND	ND	0.21	ND	1.70	0.43	1.34	0.57	0.58	0.18	3.39	27.70	ND	0.62	ND	2.55	ND	0.38	0.73	1.33	0.02	72.71	4.16	5.44	21.26	1.13	1.65	ND	0.84	0.68	2.46	0.38	0.81	0.16	ND	ND	ND	ND	13.66	0.44	0.49	5.70	10.97	13.82	ND	22.71	31.17	0.28	1.38	0.16	ND	ND	0.34	ND	0.25	0.02	0.07	0.04	0.46	1.36	4.97	0.60	ND	ND	ND	ND	2.50	ND	0.60	ND	4.19	ND	0.64	0.08	11.66	0.42	1.97	18.39	50.33	0.64	0.09	0.14	ND	ND	0.04	1.39	ND	0.35	0.19	0.27	0.18	ND	1.68	ND	0.27	0.66	0.26	0.54	ND	ND	2.97	ND	ND	ND	12.08	ND	ND	10.31	0.59	0.14	0.15	ND	1.03	ND	ND	ND	0.11	ND	ND	ND	0.13	2.91	5.94	ND	0.38	ND	2.59	0.49	ND	8.78	ND	0.04	0.58	1.57	0.20	0.84
JWL0171		ND	0.05	ND	ND	0.06	0.03	ND	ND	0.06	0.25	0.14	0.06	ND	ND	ND	ND	ND	ND	ND	0.01	0.07	0.29	ND	0.25	0.70	ND	0.11	ND	ND	ND	ND	ND	0.11	ND	ND	ND	ND	ND	0.53	ND	ND	0.24	0.51	0.42	0.15	0.82	2.61	ND	0.11	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.08	0.32	ND	ND	ND	ND	ND	0.05	0.19	ND	ND	0.26	0.04	0.14	ND	0.38	ND	0.19	2.14	3.19	0.07	ND	ND	ND	ND	ND	0.90	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.09	0.05	0.01	ND	ND	ND	ND	ND	ND	0.02	0.13	ND	0.77	0.17	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.49	0.46	ND	ND	ND	ND	ND	ND	0.29	ND	ND	ND	ND	0.61	0.25
