	Phosphatidylethanolamine Profile;  PE																																																																																																																																								
JWL0172		ND	0.06	0.02	ND	0.37	0.06	0.36	0.06	ND	0.05	0.21	1.17	0.06	0.10	0.04	0.51	0.03	0.19	0.25	0.29	0.05	1.11	0.40	1.36	10.15	0.39	0.80	ND	0.27	0.50	2.10	0.13	1.24	0.32	0.02	ND	0.06	0.01	2.47	0.14	0.05	2.98	3.43	7.70	ND	16.36	25.31	0.22	1.15	0.17	0.02	ND	ND	ND	0.06	0.01	0.12	0.04	0.21	1.23	4.84	0.60	0.09	0.15	ND	ND	0.20	0.31	0.07	0.07	2.02	0.24	0.46	0.24	4.06	ND	ND	12.15	44.21	1.47	0.24	0.19	ND	ND	0.08	ND	0.04	0.36	0.46	0.14	ND	ND	1.44	0.07	ND	3.74	ND	ND	ND	ND	0.84	0.04	0.01	0.45	2.17	0.87	0.36	8.35	1.54	0.52	0.20	0.02	1.00	0.08	0.02	0.14	0.70	ND	0.08	ND	ND	ND	ND	ND	0.17	0.12	0.56	0.29	0.10	5.64	ND	ND	ND	1.50	ND	ND
JWL0173		ND	0.20	0.02	ND	0.40	0.12	ND	ND	0.02	0.15	0.32	0.32	0.08	0.07	0.04	0.30	ND	0.17	0.11	0.08	0.46	0.38	0.16	1.46	6.87	0.16	0.76	ND	0.13	0.19	0.43	ND	0.41	ND	ND	ND	0.09	0.03	0.85	0.07	0.03	1.57	1.62	5.01	1.23	3.59	29.71	0.11	0.75	0.19	ND	ND	ND	ND	0.08	0.01	0.06	0.06	ND	1.01	3.24	0.25	ND	0.12	ND	ND	0.08	0.46	ND	ND	1.35	0.26	1.13	ND	2.41	ND	ND	19.06	35.97	1.41	0.17	0.07	ND	ND	ND	ND	0.04	0.43	0.35	0.09	0.14	0.21	1.16	ND	0.12	0.78	ND	ND	ND	ND	ND	ND	ND	0.34	0.21	0.75	0.40	8.04	0.95	0.22	0.14	0.02	0.77	ND	ND	ND	ND	ND	ND	ND	ND	ND	2.07	ND	ND	ND	0.07	0.02	ND	1.09	ND	0.11	0.81	1.20	0.92	1.32
JWL0174		ND	ND	ND	ND	0.17	0.02	ND	ND	ND	ND	0.81	0.53	0.13	0.09	0.01	0.24	ND	ND	0.12	0.08	ND	4.16	0.30	3.80	15.88	ND	0.58	ND	1.14	0.07	1.35	ND	0.22	0.04	ND	ND	ND	ND	0.44	0.09	0.21	6.79	6.72	9.59	ND	8.39	23.90	0.03	0.31	ND	0.06	0.07	0.14	0.08	0.14	0.11	ND	ND	ND	0.29	6.31	ND	ND	ND	ND	ND	0.18	0.05	0.06	0.06	2.48	0.27	0.52	0.15	2.53	0.56	ND	26.08	35.26	0.18	ND	0.16	ND	ND	ND	ND	ND	0.05	0.55	ND	ND	ND	1.37	ND	ND	0.82	ND	ND	ND	ND	1.27	ND	ND	0.26	2.98	0.07	0.15	10.20	1.41	0.14	0.14	ND	0.80	ND	ND	ND	0.59	ND	ND	ND	14.86	1.48	2.31	ND	0.09	0.07	0.09	0.09	0.09	3.86	0.06	ND	0.14	0.81	ND	ND
JWL0175		0.05	ND	ND	ND	ND	ND	ND	ND	0.02	0.01	0.48	0.20	ND	0.06	ND	0.16	ND	ND	0.06	0.07	0.11	0.82	0.10	1.62	4.51	0.20	0.24	0.02	0.32	ND	0.62	0.09	0.07	ND	ND	ND	0.02	0.07	1.34	0.05	0.07	4.03	3.50	6.43	ND	9.88	11.27	0.09	0.27	ND	ND	0.07	0.09	0.01	ND	ND	0.11	ND	0.14	ND	3.25	ND	ND	ND	ND	ND	0.38	0.52	0.16	ND	2.28	ND	0.19	0.05	4.55	ND	ND	15.14	23.25	0.22	ND	0.32	ND	0.03	0.06	ND	ND	ND	0.35	0.08	0.04	0.76	1.95	ND	ND	0.85	0.27	ND	0.08	ND	2.34	ND	ND	0.19	3.37	ND	ND	16.12	2.38	0.33	0.17	ND	0.73	ND	ND	ND	0.35	ND	0.09	0.10	ND	ND	3.48	0.13	0.06	0.16	0.07	0.25	ND	8.17	ND	ND	0.57	0.79	ND	ND
JWL0176		0.03	ND	ND	ND	ND	ND	0.12	0.07	ND	ND	ND	0.18	ND	0.08	ND	0.33	0.02	ND	0.05	ND	ND	ND	0.03	0.84	2.39	ND	0.44	ND	0.37	0.05	0.66	ND	0.34	ND	0.04	ND	ND	ND	ND	ND	ND	1.07	1.33	2.72	ND	2.13	8.06	0.04	0.07	ND	0.06	ND	ND	ND	ND	ND	ND	ND	ND	0.23	3.71	ND	ND	ND	ND	ND	0.06	0.02	ND	ND	0.77	ND	0.06	0.04	2.36	ND	ND	8.20	22.03	0.20	ND	ND	ND	ND	ND	ND	ND	0.06	0.29	0.35	0.25	0.29	1.52	ND	0.34	1.84	0.05	ND	ND	0.03	1.07	ND	ND	0.15	2.13	ND	ND	8.74	2.44	0.54	0.08	0.01	0.39	0.16	ND	0.10	ND	ND	ND	ND	11.29	ND	13.25	ND	0.82	0.14	1.08	0.27	0.06	6.03	ND	ND	0.90	0.84	0.26	0.34
JWL0177		0.05	ND	1.11	0.02	0.09	0.02	0.88	ND	ND	ND	ND	0.09	ND	0.06	ND	0.21	ND	ND	0.05	ND	ND	ND	ND	0.19	0.54	0.06	0.26	0.05	0.08	ND	0.14	ND	0.09	ND	0.03	ND	ND	ND	ND	ND	ND	0.34	0.62	0.65	ND	1.02	1.50	ND	ND	ND	0.04	ND	ND	ND	ND	ND	ND	ND	ND	0.05	0.89	ND	ND	ND	ND	ND	0.04	0.01	ND	ND	0.26	0.03	ND	ND	0.50	ND	ND	3.28	6.38	0.13	ND	ND	ND	ND	ND	ND	ND	0.07	0.12	ND	ND	ND	0.44	ND	ND	ND	0.03	0.00	ND	ND	0.41	ND	ND	ND	0.37	ND	0.03	2.87	1.15	0.29	0.12	ND	ND	0.05	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.40	ND	0.55	ND	ND	1.56	ND	ND	ND	0.26	0.16	0.34
JWL0178		0.15	ND	0.11	0.19	0.14	ND	0.67	0.11	ND	0.16	ND	0.22	ND	0.11	ND	0.58	ND	ND	0.13	ND	ND	0.16	0.07	0.78	4.33	0.22	1.80	0.08	0.47	0.09	0.72	0.08	0.85	ND	0.15	ND	ND	ND	0.15	ND	ND	1.48	2.08	2.52	ND	5.19	10.40	0.21	0.31	ND	ND	0.09	0.23	0.06	ND	ND	0.09	ND	0.27	0.41	5.11	ND	ND	ND	0.41	ND	0.13	0.09	ND	ND	1.35	ND	0.13	0.15	2.23	ND	ND	12.08	29.32	1.23	ND	0.16	0.14	ND	0.09	ND	0.02	0.55	1.04	0.61	0.34	ND	1.97	0.16	0.11	0.30	0.12	0.04	ND	ND	2.38	ND	ND	0.32	4.94	ND	0.24	9.50	4.30	1.17	0.50	ND	1.60	0.33	ND	0.48	0.56	ND	ND	1.04	ND	ND	3.07	ND	1.84	ND	4.09	ND	ND	13.50	0.26	ND	ND	2.19	ND	0.65
JWL0179		0.04	ND	ND	ND	ND	ND	0.04	0.03	ND	ND	ND	ND	ND	ND	ND	0.17	ND	ND	ND	ND	ND	0.04	0.04	0.48	1.36	ND	0.37	ND	0.25	ND	0.44	0.02	0.29	ND	0.02	0.07	ND	0.19	0.15	ND	ND	0.95	0.74	1.97	ND	0.85	10.80	ND	ND	ND	0.48	ND	0.05	0.07	ND	ND	ND	ND	ND	ND	5.11	ND	ND	ND	0.16	0.25	0.40	0.16	ND	ND	0.73	0.20	0.28	0.06	1.54	ND	ND	15.18	22.47	ND	ND	ND	0.44	ND	ND	0.74	ND	0.11	0.62	0.59	0.36	0.32	1.70	0.06	0.18	1.68	0.35	0.04	0.09	0.06	1.08	ND	ND	0.28	3.05	ND	0.46	9.38	2.12	0.38	0.16	ND	0.44	0.24	ND	0.16	0.50	0.10	0.05	1.88	ND	1.09	ND	0.20	1.32	0.61	1.45	0.77	0.34	22.04	ND	ND	0.49	1.23	ND	ND
JWL0180		ND	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.14	ND	ND	ND	ND	ND	0.04	0.04	0.36	0.84	ND	0.52	ND	0.18	ND	0.22	ND	0.23	ND	ND	0.13	0.02	0.12	0.10	ND	ND	1.18	0.84	1.94	ND	0.92	9.02	ND	ND	ND	1.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	5.17	ND	ND	ND	0.21	0.24	0.29	0.11	ND	0.06	0.55	0.37	0.47	0.08	1.19	ND	ND	22.83	24.78	0.24	ND	0.25	0.68	4.02	ND	ND	ND	0.18	1.06	0.75	0.61	ND	1.58	ND	0.16	1.33	0.42	0.11	0.07	ND	2.19	ND	ND	0.33	2.36	0.43	1.11	10.59	3.25	0.54	0.56	ND	1.87	0.21	ND	0.12	0.52	0.07	0.11	1.51	ND	ND	ND	0.19	1.97	0.93	2.58	0.96	0.41	17.68	0.17	0.04	0.30	3.63	ND	0.77
JWL0181		0.01	0.36	ND	0.01	ND	ND	0.01	0.02	ND	ND	ND	ND	ND	ND	ND	0.04	0.11	ND	ND	ND	ND	0.01	0.01	0.17	0.41	ND	0.14	ND	ND	ND	0.14	0.02	0.06	ND	ND	0.04	ND	0.02	0.01	ND	ND	0.28	0.23	0.69	ND	0.38	4.45	ND	ND	ND	0.17	ND	ND	ND	ND	ND	ND	ND	ND	ND	2.03	ND	ND	0.01	ND	0.04	0.06	0.04	ND	ND	0.21	0.07	0.12	0.01	0.60	ND	ND	7.25	10.20	0.09	ND	ND	ND	0.04	ND	ND	ND	ND	0.28	ND	0.06	ND	0.74	ND	ND	0.61	0.10	0.02	ND	ND	0.47	ND	ND	0.10	1.00	0.05	0.17	3.99	0.87	0.16	0.12	ND	ND	ND	ND	ND	0.23	ND	0.02	0.58	ND	ND	3.13	ND	0.29	0.16	0.28	0.21	0.08	8.34	ND	0.05	0.09	0.72	0.10	ND
JWL0185		ND	0.07	ND	0.09	ND	ND	ND	ND	ND	0.04	ND	ND	ND	0.04	ND	0.13	0.05	ND	ND	ND	ND	ND	ND	0.39	1.26	ND	0.50	ND	0.19	ND	0.32	ND	0.29	ND	0.04	0.25	ND	0.05	ND	ND	ND	0.74	0.73	1.64	ND	0.70	12.58	ND	0.08	ND	0.44	ND	0.03	0.04	ND	ND	0.03	0.02	ND	0.31	6.41	ND	0.05	ND	0.15	0.11	0.12	0.08	ND	0.03	0.75	0.12	0.30	0.08	2.10	ND	ND	19.72	30.55	0.28	ND	ND	0.42	2.68	ND	ND	ND	0.35	1.14	0.57	0.22	0.21	2.24	0.15	0.13	1.12	0.12	0.02	0.03	ND	0.98	0.02	0.01	0.16	3.26	ND	0.66	14.96	2.56	0.46	0.32	ND	1.03	0.13	ND	0.14	0.66	0.14	0.04	1.70	5.99	ND	8.19	0.10	0.92	0.28	1.94	0.48	0.16	20.90	0.26	ND	ND	3.77	0.17	ND
JWL0188		ND	ND	0.03	ND	ND	ND	0.20	0.03	ND	ND	ND	ND	ND	ND	ND	0.34	ND	ND	0.08	ND	ND	ND	ND	0.73	3.88	ND	0.59	0.07	0.38	ND	1.04	ND	0.32	ND	0.23	0.05	ND	ND	ND	ND	ND	1.56	0.95	2.90	ND	3.68	15.15	0.04	ND	ND	0.18	0.08	ND	ND	ND	ND	0.13	ND	ND	0.16	3.20	ND	ND	0.04	0.32	0.05	ND	ND	ND	ND	1.58	ND	0.10	0.18	4.01	ND	ND	12.80	29.66	0.38	ND	0.03	ND	0.09	ND	ND	ND	0.22	0.74	ND	0.25	ND	2.25	ND	ND	ND	0.16	0.03	0.05	0.05	2.70	ND	ND	ND	7.23	ND	ND	21.21	2.85	1.16	0.41	ND	0.91	0.44	ND	0.58	0.52	0.05	ND	1.49	ND	ND	21.90	ND	3.51	ND	3.77	ND	0.17	17.28	ND	ND	0.67	2.50	ND	ND
JWL0189		ND	0.07	ND	ND	ND	ND	ND	ND	ND	ND	0.06	ND	ND	ND	ND	ND	ND	ND	ND	0.04	ND	ND	ND	0.23	0.68	ND	0.16	ND	0.12	ND	0.40	ND	0.25	ND	ND	ND	ND	ND	ND	ND	ND	0.66	ND	2.00	0.69	ND	3.84	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.08	0.22	ND	ND	1.88	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.03	0.04	1.18	ND	ND	ND	ND	6.08	1.03	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.31	ND	ND	ND	0.04	0.03	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.02	0.03	0.24	0.16	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.07	ND	ND	ND	ND	ND	ND
JWL0190		0.40	0.07	ND	ND	0.07	ND	ND	ND	0.13	ND	0.11	ND	ND	0.21	ND	0.15	ND	ND	0.09	ND	ND	0.06	ND	2.60	2.29	ND	0.72	ND	1.71	ND	0.97	ND	1.59	ND	ND	ND	ND	ND	0.39	0.06	0.02	4.98	4.55	4.88	0.95	2.51	16.61	ND	0.11	ND	0.09	0.67	1.54	ND	ND	ND	0.37	0.52	0.89	ND	10.71	0.64	ND	ND	ND	ND	0.14	0.15	ND	0.59	3.64	ND	1.98	0.38	5.33	3.45	5.27	16.80	32.88	0.82	ND	ND	ND	0.07	0.22	ND	0.73	0.14	2.79	ND	ND	0.63	9.51	0.47	0.19	2.13	0.11	0.07	ND	0.15	1.44	0.14	0.23	0.16	0.71	2.80	1.42	18.99	4.23	0.48	0.41	0.06	0.68	ND	0.02	ND	1.32	ND	0.11	ND	0.83	1.30	ND	ND	0.30	ND	0.15	0.61	0.83	3.92	ND	0.09	0.89	1.57	ND	ND
JWL0191		ND	ND	ND	ND	0.10	0.17	ND	ND	ND	0.34	0.52	ND	ND	0.14	0.14	7.02	ND	0.32	0.44	0.25	0.26	0.21	0.15	0.82	23.80	0.27	3.97	ND	ND	1.48	1.37	ND	0.54	0.32	ND	0.09	0.22	0.29	0.60	0.10	0.15	1.25	ND	26.72	ND	9.13	22.65	0.28	0.56	ND	0.15	ND	ND	ND	0.98	ND	0.43	ND	ND	2.99	2.80	0.18	ND	0.14	0.34	0.13	0.82	1.02	0.16	ND	0.43	0.68	0.38	0.78	15.91	ND	ND	35.24	20.28	0.57	0.15	0.35	ND	ND	ND	3.96	ND	1.16	0.90	ND	ND	ND	0.38	ND	1.79	3.28	0.99	0.12	0.20	ND	0.85	ND	ND	ND	21.79	ND	ND	12.12	1.89	0.20	ND	ND	1.32	ND	ND	ND	0.30	ND	ND	ND	ND	0.21	0.19	0.78	ND	1.14	0.92	1.15	ND	28.66	ND	ND	3.78	0.66	ND	2.38
																																																																																																																																									
Total Analytes	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	46	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0
