	Triacylglycerol Profile (TG)																																																																																																																																																																																																																																																																																																															
JWL0177		ND	ND	0.02	ND	0.01	ND	ND	ND	0.04	ND	0.05	ND	ND	ND	ND	0.09	0.14	0.20	ND	ND	0.40	0.02	ND	ND	ND	ND	ND	0.32	ND	0.12	ND	ND	0.12	ND	ND	0.12	ND	0.11	0.03	0.05	ND	ND	ND	ND	0.02	ND	ND	0.75	0.27	ND	ND	0.19	ND	ND	3.27	ND	ND	ND	ND	ND	ND	0.12	ND	ND	ND	ND	0.25	0.18	ND	0.17	0.36	ND	ND	ND	8.68	1.85	1.91	ND	ND	ND	0.17	0.06	0.14	0.06	0.04	ND	ND	0.02	0.15	ND	ND	ND	0.33	0.75	0.21	ND	ND	0.22	0.06	0.04	0.01	0.34	0.19	ND	13.45	5.72	ND	ND	3.66	1.70	0.74	0.16	ND	ND	0.13	0.24	0.41	0.87	1.15	ND	ND	0.62	0.71	ND	0.50	0.20	0.33	0.48	0.19	ND	0.03	0.12	ND	1.02	ND	ND	14.62	5.40	3.89	20.61	4.76	ND	ND	0.81	0.66	0.36	0.29	0.18	0.36	0.33	0.14	0.80	0.21	0.39	0.40	0.10	1.88	0.67	1.19	1.67	2.06	ND	0.93	0.86	1.00	2.00	ND	ND	0.36	ND	ND	ND	0.20	0.99	ND	12.80	6.68	6.41	57.20	21.31	ND	2.74	1.22	1.84	1.99	1.85	ND	0.45	ND	1.54	2.73	0.92	2.83	ND	1.58	0.66	0.27	0.11	6.06	1.31	1.25	1.70	5.51	2.71	2.53	4.95	ND	ND	1.45	2.39	0.89	0.88	ND	0.43	0.41	0.40	ND	1.41	ND	ND	0.62	ND	0.97	21.42	ND	35.96	26.48	ND	26.24	2.04	ND	ND	1.34	1.84	1.49	ND	4.17	ND	7.39	ND	ND	3.33	4.06	2.69	5.20	2.81	ND	3.17	ND	ND	ND	0.09	0.04	0.04	7.62	ND	9.78	12.91	5.68	9.70	5.29	2.46	1.45	1.58	0.96	0.91	ND	3.72	2.23	1.56	0.53	0.74	19.13	ND	81.30	77.86	0.14	7.26	2.99	4.45	2.02	ND	13.20	0.14	0.08	7.65	13.33	7.93	4.41	ND	0.21	5.09	11.24	0.98	1.05	0.04	0.01	0.01	0.01	0.96	0.96	0.34	ND
JWL0178		0.01	ND	0.01	ND	0.02	ND	ND	ND	0.02	ND	0.07	ND	ND	ND	ND	0.06	0.14	0.04	ND	0.23	0.41	0.01	ND	ND	ND	ND	ND	0.37	0.05	0.12	ND	ND	0.17	ND	ND	0.05	ND	0.13	0.06	0.07	0.98	ND	ND	ND	0.03	ND	ND	2.76	ND	ND	ND	ND	ND	ND	6.75	ND	ND	ND	ND	ND	ND	0.23	ND	ND	ND	ND	0.45	0.37	ND	ND	0.97	ND	ND	ND	19.92	ND	ND	ND	ND	ND	0.31	0.17	0.22	0.15	ND	ND	ND	0.03	0.25	ND	ND	ND	1.33	0.80	ND	ND	ND	0.79	ND	0.08	ND	0.13	0.52	ND	ND	7.18	6.62	ND	12.64	ND	ND	0.80	ND	ND	ND	0.24	ND	0.94	2.22	ND	ND	0.52	0.87	ND	1.54	0.33	0.69	0.68	0.30	ND	0.53	ND	0.06	0.43	0.12	ND	31.04	ND	ND	33.04	ND	ND	ND	0.55	0.38	1.44	0.78	0.54	ND	0.91	0.84	ND	ND	0.57	0.19	0.08	2.66	1.65	0.91	1.36	1.59	ND	2.15	ND	1.16	2.79	ND	0.89	0.60	1.39	ND	ND	ND	0.16	0.08	9.12	2.96	8.46	77.78	16.50	ND	5.62	ND	2.63	3.39	1.26	0.93	1.24	0.56	0.58	ND	ND	5.63	ND	2.38	1.07	0.10	0.10	11.65	3.01	ND	ND	9.49	3.18	3.52	3.66	ND	3.39	4.28	7.07	ND	ND	ND	1.24	1.02	0.96	ND	0.70	0.80	0.25	0.73	ND	0.56	28.57	ND	56.08	25.53	ND	51.31	3.01	ND	ND	1.60	3.78	1.31	ND	ND	1.04	1.57	2.36	ND	1.61	3.44	ND	5.70	4.75	ND	8.10	ND	ND	ND	0.09	0.03	0.04	12.58	ND	17.10	19.44	12.08	28.57	7.28	ND	4.34	1.92	1.34	1.63	1.96	4.85	4.85	2.47	ND	0.96	26.85	ND	122.22	144.25	ND	11.15	3.22	4.22	7.99	ND	8.44	8.33	6.34	5.40	13.30	5.38	ND	12.97	15.12	7.68	15.97	1.58	0.81	ND	ND	ND	ND	1.33	1.02	0.77	ND
JWL0179		0.00	0.00	0.01	ND	ND	0.00	ND	0.01	0.03	ND	0.03	ND	ND	ND	0.00	0.02	0.05	ND	ND	0.03	0.08	ND	0.02	0.01	0.01	0.00	0.00	0.01	0.05	0.03	ND	0.04	0.04	ND	0.01	0.07	0.02	ND	ND	ND	ND	ND	0.01	0.00	ND	0.00	ND	0.04	0.02	0.03	ND	0.02	0.02	0.02	0.06	0.04	0.02	0.01	ND	ND	ND	0.01	ND	ND	ND	ND	0.01	0.01	ND	0.03	0.05	0.02	0.01	0.03	0.17	0.06	0.06	ND	ND	ND	ND	0.01	0.00	ND	0.00	0.01	0.00	0.00	0.04	ND	ND	ND	0.02	0.01	0.01	0.01	ND	0.01	ND	0.00	ND	0.07	0.09	0.04	0.07	0.12	0.25	0.06	0.18	ND	ND	0.01	ND	ND	ND	ND	0.13	0.05	0.06	0.03	ND	0.03	0.02	0.01	0.03	0.01	0.04	0.01	0.01	ND	ND	0.00	ND	0.16	0.08	0.04	1.29	0.30	ND	1.74	0.03	ND	ND	0.04	0.01	0.02	0.01	0.01	0.01	ND	0.02	ND	ND	0.00	0.14	0.06	0.18	0.06	0.05	0.10	0.05	ND	0.18	0.06	0.16	0.09	0.06	ND	0.10	0.08	0.04	ND	ND	0.20	0.11	0.71	0.52	0.41	3.30	1.44	1.63	0.86	ND	0.35	ND	ND	ND	0.04	0.03	0.02	0.01	ND	0.04	0.15	ND	ND	0.08	0.05	0.73	0.21	ND	ND	0.77	0.36	ND	0.33	ND	0.04	0.34	0.25	ND	0.17	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.36	2.98	ND	8.70	2.11	ND	6.47	ND	ND	ND	ND	0.42	0.20	ND	ND	ND	0.05	0.19	0.09	0.11	0.16	ND	0.11	ND	ND	ND	ND	ND	0.00	0.06	ND	ND	0.35	0.12	1.00	1.69	0.58	1.30	0.80	0.39	0.33	0.38	ND	ND	0.13	0.23	0.08	0.05	0.07	0.31	2.06	ND	19.66	10.98	ND	0.72	0.36	ND	0.51	0.26	0.51	0.75	0.22	ND	0.64	0.31	0.43	0.07	0.03	0.23	0.43	ND	ND	ND	ND	ND	ND	0.05	0.04	0.02	ND
JWL0180		0.01	ND	0.00	0.00	0.00	ND	0.00	0.01	0.01	ND	0.03	ND	ND	ND	ND	0.00	0.08	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.01	0.05	ND	ND	0.04	0.04	ND	0.01	0.04	0.02	0.01	ND	ND	0.01	0.01	ND	ND	ND	ND	ND	0.01	ND	0.03	ND	ND	0.03	0.03	0.07	0.03	0.01	0.01	ND	ND	ND	0.02	ND	ND	ND	ND	0.01	0.01	ND	0.04	0.02	0.04	0.03	0.02	0.26	0.07	0.07	ND	ND	ND	0.01	0.01	ND	ND	ND	ND	0.01	ND	0.06	ND	ND	ND	0.02	0.03	ND	ND	ND	0.01	ND	0.00	ND	0.15	0.07	0.04	0.66	0.32	0.21	ND	0.17	0.05	0.05	0.01	ND	ND	ND	ND	0.21	0.06	0.07	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	ND	ND	ND	ND	0.50	ND	ND	1.34	0.51	0.31	1.36	0.41	ND	ND	0.05	0.04	ND	0.02	0.01	0.03	ND	0.01	ND	ND	ND	0.21	0.09	0.18	ND	0.08	0.10	0.10	0.04	0.11	0.08	0.10	0.16	0.05	ND	0.05	ND	ND	ND	ND	0.30	0.15	1.49	1.17	0.50	5.32	3.37	ND	0.76	ND	0.23	ND	ND	0.03	0.03	ND	0.04	0.18	ND	ND	0.29	ND	ND	0.13	0.07	0.69	0.23	ND	ND	0.54	0.17	0.20	0.37	ND	0.17	0.21	0.20	ND	0.06	ND	ND	ND	0.11	ND	0.04	ND	ND	ND	0.00	0.55	3.71	ND	5.97	3.54	ND	1.91	1.04	0.52	0.42	0.12	0.17	0.13	ND	0.29	ND	0.78	ND	ND	ND	0.14	0.14	0.08	0.03	ND	0.08	ND	ND	ND	0.09	0.02	ND	0.63	ND	0.92	1.03	0.40	1.09	0.34	ND	0.21	0.22	ND	ND	ND	ND	ND	ND	0.14	0.55	2.60	ND	14.24	10.55	ND	0.34	0.31	0.22	0.28	0.81	1.17	ND	0.33	0.48	0.57	0.42	0.60	ND	0.42	0.03	0.27	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0181		0.00	0.01	0.05	0.03	ND	0.02	0.01	0.01	0.13	0.00	0.09	ND	0.04	0.02	0.03	0.19	0.17	0.01	ND	0.08	0.09	0.04	0.03	0.08	0.00	0.01	0.01	0.01	0.09	0.15	0.05	0.06	0.05	0.06	ND	0.21	0.09	0.04	ND	ND	ND	ND	0.01	0.01	ND	0.00	ND	0.03	0.02	0.07	0.06	0.06	0.02	0.02	0.01	0.12	0.08	0.03	0.02	0.10	0.02	ND	ND	ND	ND	ND	ND	ND	0.01	ND	0.10	0.10	ND	0.07	0.06	0.02	0.10	ND	0.04	0.02	ND	0.04	ND	ND	ND	ND	0.01	0.01	ND	ND	ND	ND	0.01	0.00	0.00	0.00	ND	ND	ND	ND	ND	0.11	0.10	0.09	0.00	0.09	0.10	0.08	0.07	ND	0.04	ND	ND	0.00	ND	ND	0.12	0.03	0.03	0.01	ND	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.00	ND	ND	ND	ND	0.28	0.12	ND	0.69	0.01	0.15	0.44	0.10	ND	ND	0.02	ND	0.01	ND	0.01	0.00	0.00	0.00	ND	ND	ND	0.13	0.06	0.08	0.03	0.03	0.03	0.03	ND	0.06	0.02	0.05	0.04	0.02	ND	0.03	0.01	ND	0.01	ND	0.27	0.17	0.53	0.21	0.12	1.50	0.53	0.55	0.21	ND	0.06	0.05	ND	0.01	0.01	0.00	ND	0.01	ND	ND	ND	ND	ND	0.08	0.05	0.31	0.10	ND	ND	0.30	0.13	ND	0.13	ND	0.06	0.09	0.06	ND	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.43	2.03	ND	3.22	1.17	ND	1.83	ND	ND	ND	ND	0.05	0.02	0.02	0.03	0.02	0.03	0.04	ND	0.06	ND	0.02	0.03	0.03	ND	0.03	ND	ND	ND	0.04	0.01	ND	0.19	0.06	0.32	0.44	0.15	0.38	0.16	0.08	0.06	0.06	ND	0.05	ND	0.09	0.03	ND	0.02	0.33	1.25	ND	7.63	3.76	ND	ND	0.13	ND	0.12	0.56	0.37	ND	0.14	ND	0.24	0.10	0.07	ND	ND	0.02	0.16	ND	ND	0.02	0.00	ND	0.00	0.03	0.04	ND	ND
JWL0185		0.00	ND	ND	ND	ND	ND	ND	0.01	0.01	ND	0.05	ND	ND	ND	ND	ND	0.06	ND	ND	ND	0.15	ND	0.42	0.20	0.14	ND	ND	ND	0.08	ND	ND	0.08	0.08	ND	0.03	0.05	ND	0.05	ND	ND	0.57	0.02	ND	ND	ND	ND	ND	0.27	ND	ND	ND	ND	0.19	0.12	0.59	ND	ND	ND	ND	ND	ND	0.07	ND	ND	ND	ND	0.12	0.03	ND	0.08	0.37	ND	ND	ND	1.32	1.01	0.56	ND	ND	ND	0.11	ND	0.19	ND	0.06	0.09	ND	ND	0.18	ND	ND	ND	0.34	0.17	0.32	ND	ND	0.16	0.09	ND	0.01	0.12	0.26	ND	ND	2.04	4.31	ND	5.02	ND	ND	0.10	0.15	ND	0.09	0.03	0.17	0.76	0.65	0.65	ND	0.51	0.25	0.16	0.47	0.41	0.70	0.26	0.48	ND	ND	ND	0.03	0.26	0.06	ND	4.76	1.55	ND	13.11	5.82	ND	ND	2.06	0.54	0.59	ND	0.69	0.21	0.17	0.27	0.12	0.15	0.02	0.25	0.09	2.72	1.85	0.57	2.40	ND	ND	3.87	ND	3.96	1.49	0.05	1.44	3.01	1.87	1.24	ND	ND	0.34	0.14	6.63	5.43	ND	18.32	16.24	27.01	19.06	1.83	5.93	ND	ND	0.45	1.36	0.74	0.42	ND	1.67	0.75	0.76	0.40	ND	0.18	0.12	12.54	ND	ND	ND	21.10	6.53	ND	9.61	ND	ND	7.09	7.54	ND	4.61	ND	2.34	2.20	2.17	ND	0.37	1.47	ND	0.70	ND	0.50	21.98	ND	119.79	25.33	ND	98.68	6.35	ND	ND	ND	7.74	3.70	2.56	ND	ND	2.41	6.05	1.31	1.42	1.44	0.55	2.36	1.38	1.49	1.53	ND	ND	ND	0.06	0.03	0.03	7.24	1.69	18.30	40.72	0.12	17.73	18.69	10.23	2.90	2.94	4.16	3.93	5.22	0.89	1.24	1.25	2.32	0.62	20.31	ND	201.01	132.37	ND	20.47	7.25	1.45	0.15	ND	ND	9.46	11.85	6.56	18.31	7.89	ND	ND	5.71	2.93	5.90	0.92	0.41	0.05	0.01	0.02	ND	2.53	1.27	ND	ND
JWL0188		0.01	ND	ND	ND	ND	ND	ND	0.01	0.01	ND	ND	ND	ND	ND	ND	ND	ND	0.42	ND	1.07	ND	ND	1.51	ND	1.08	ND	ND	1.70	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.38	ND	0.32	7.61	ND	ND	ND	0.12	ND	ND	8.59	ND	ND	ND	ND	ND	ND	16.29	ND	ND	ND	ND	ND	0.27	ND	0.38	ND	0.53	ND	1.32	0.63	ND	ND	4.40	ND	ND	ND	28.15	10.98	7.19	ND	ND	ND	0.66	0.62	0.94	0.40	ND	ND	ND	ND	ND	ND	1.29	ND	4.18	2.57	ND	ND	ND	1.72	ND	0.16	0.02	ND	3.38	ND	ND	25.88	27.02	ND	37.06	ND	ND	1.48	ND	ND	ND	0.51	0.57	2.87	9.39	ND	ND	2.00	3.24	ND	4.42	ND	2.31	3.60	0.90	ND	ND	ND	ND	0.81	1.88	ND	59.40	ND	ND	109.12	ND	ND	ND	1.50	1.40	3.75	1.83	1.04	ND	2.27	1.51	0.69	1.59	1.16	0.55	0.24	7.05	3.40	2.87	8.53	6.37	ND	4.44	2.26	6.49	8.91	ND	ND	ND	4.82	ND	ND	ND	0.48	0.28	30.49	8.16	35.65	190.81	56.92	ND	18.15	3.67	5.63	8.38	ND	ND	2.37	ND	6.76	ND	ND	11.05	ND	3.99	2.91	ND	ND	39.40	ND	ND	ND	37.30	13.57	ND	23.00	ND	0.17	4.62	17.83	4.50	ND	ND	3.49	1.89	1.69	ND	2.66	2.08	ND	2.34	ND	1.35	106.96	ND	185.63	86.49	ND	141.65	10.04	ND	ND	7.67	21.07	ND	ND	4.94	ND	6.44	8.33	ND	5.41	6.43	ND	23.31	10.65	ND	21.08	ND	ND	0.06	ND	ND	ND	29.78	6.72	45.19	55.91	24.19	70.50	22.32	ND	5.19	7.79	6.06	5.68	5.72	10.02	7.87	4.43	3.09	1.44	104.69	ND	383.13	415.47	ND	13.92	15.19	8.66	24.47	ND	27.80	8.73	9.33	14.49	35.76	12.62	13.58	21.57	26.98	0.57	51.68	ND	ND	ND	ND	ND	ND	3.23	2.41	0.73	ND
JWL0189		0.26	0.12	0.04	0.02	0.02	0.01	0.01	0.11	0.32	0.04	0.02	0.07	ND	0.02	0.06	0.34	0.31	0.00	0.29	ND	ND	0.09	ND	ND	ND	0.04	0.04	0.14	0.23	0.22	0.13	0.06	ND	0.06	ND	ND	ND	ND	ND	ND	ND	ND	0.02	0.01	ND	0.02	ND	0.10	0.07	0.14	0.07	0.05	0.09	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.02	0.01	0.01	ND	ND	ND	ND	0.07	0.10	0.08	0.04	0.08	0.01	0.00	0.01	0.00	ND	0.00	ND	0.00	0.00	ND	0.00	0.00	0.00	ND	ND	0.10	0.10	0.06	0.01	ND	0.01	0.01	ND	ND	ND	ND	ND	0.43	0.23	0.13	0.05	ND	0.02	0.02	0.01	0.02	0.01	ND	0.00	ND	ND	ND	0.88	0.09	ND	0.03	ND	ND	ND	0.02	ND	0.02	0.01	ND	0.02	ND	0.00	ND	ND	0.75	0.16	0.17	ND	0.26	ND	0.02	0.07	ND	0.02	0.02	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.62	0.25	0.21	ND	ND	ND	ND	0.06	0.09	0.03	ND	ND	0.05	ND	0.02	ND	ND	ND	ND	2.39	0.59	0.15	0.23	ND	ND	0.13	0.24	0.09	ND	ND	ND	0.02	0.00	0.00	0.00	ND	ND	ND	ND	ND	ND	ND	0.38	0.26	0.09	0.09	0.04	0.02	0.08	0.06	ND	ND	0.04	0.03	0.04	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.48	0.52	ND	0.29	ND	0.10	0.12	ND	0.08	ND	ND	ND	ND	0.04	ND	ND	ND	ND	ND	ND	ND	0.00	ND	ND	ND	ND	ND	ND	ND	0.16	0.03	ND	0.06	0.02	0.03	0.03	0.03	0.02	0.01	0.01	ND	ND	ND	ND	ND	ND	ND	ND	0.01	0.96	0.25	ND	0.72	0.23	0.13	0.01	ND	0.01	ND	0.20	0.04	ND	ND	ND	ND	ND	0.07	ND	ND	ND	ND	ND	ND	0.06	0.04	ND	0.02	0.00	0.01	ND	ND
JWL0190		0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.06	0.02	0.06	ND	0.01	ND	ND	0.01	0.02	0.01	0.22	0.05	0.09	ND	0.01	ND	0.00	ND	0.00	0.00	0.36	0.02	0.01	ND	0.00	0.01	ND	ND	0.00	0.00	0.00	ND	ND	ND	ND	ND	ND	ND	ND	0.00	0.12	0.12	0.03	ND	0.03	ND	ND	ND	0.00	ND	0.00	0.00	ND	ND	ND	0.00	0.00	0.00	0.00	ND	ND	0.01	0.04	0.07	0.02	0.05	0.02	0.02	ND	0.01	ND	ND	ND	ND	0.00	ND	0.00	ND	ND	0.00	ND	ND	0.02	0.01	0.01	ND	ND	ND	ND	0.00	ND	ND	ND	ND	0.11	0.08	ND	0.05	0.03	0.01	ND	ND	0.01	0.00	ND	ND	ND	ND	ND	0.15	0.02	ND	0.01	0.02	ND	ND	ND	ND	0.02	ND	ND	ND	0.00	ND	ND	ND	0.36	ND	ND	0.03	0.12	0.08	ND	0.04	0.01	0.01	ND	0.02	ND	ND	ND	0.00	ND	ND	ND	ND	ND	0.13	0.06	0.06	0.04	0.04	0.01	ND	0.01	0.04	0.04	ND	ND	0.02	ND	ND	ND	ND	ND	0.00	0.36	0.17	0.38	0.16	ND	ND	0.22	0.14	0.02	0.01	ND	0.01	0.02	0.05	ND	ND	ND	0.02	0.01	ND	0.02	ND	ND	0.09	0.05	0.15	0.05	0.06	0.06	0.11	0.13	0.09	ND	ND	ND	0.04	0.02	0.01	ND	0.01	ND	ND	ND	0.03	0.03	ND	ND	ND	ND	0.42	0.87	ND	0.65	0.41	ND	0.10	0.04	0.09	0.08	ND	ND	0.05	ND	0.10	ND	0.19	ND	0.05	ND	0.04	0.07	ND	ND	ND	ND	ND	ND	0.00	0.06	0.02	ND	0.24	ND	0.25	0.13	0.07	0.15	ND	0.08	0.02	0.03	ND	ND	ND	0.08	ND	ND	0.16	0.38	0.33	0.08	1.79	0.41	0.35	0.12	0.12	0.11	0.02	0.05	0.30	0.02	0.10	0.23	0.26	0.40	0.40	ND	0.21	ND	ND	ND	0.00	0.03	0.01	ND	0.01	0.02	0.01	0.01	0.01
JWL0191		ND	0.03	ND	ND	ND	ND	ND	0.10	ND	0.01	ND	ND	ND	ND	ND	0.01	0.04	0.05	0.07	0.05	ND	ND	ND	0.01	ND	ND	ND	0.12	ND	ND	0.06	0.03	ND	ND	ND	0.02	ND	0.02	ND	ND	ND	0.01	ND	ND	ND	ND	ND	0.05	0.07	ND	0.02	0.03	ND	ND	ND	0.01	ND	0.01	0.01	0.01	ND	0.03	ND	ND	ND	0.01	ND	ND	ND	0.14	0.07	0.10	ND	ND	0.01	0.04	0.03	ND	0.02	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.02	0.03	0.03	ND	ND	ND	0.01	0.02	ND	ND	0.01	0.02	0.53	0.16	ND	0.55	ND	ND	0.11	ND	0.04	ND	ND	ND	ND	0.55	ND	0.28	0.12	ND	0.03	0.03	ND	ND	0.03	ND	0.03	ND	ND	ND	0.04	ND	ND	ND	0.73	ND	ND	ND	1.37	0.43	ND	0.31	0.27	0.07	ND	0.11	ND	ND	ND	2.55	ND	ND	0.51	ND	ND	0.27	0.14	0.15	0.06	0.06	ND	ND	0.03	ND	0.06	ND	ND	0.09	ND	0.06	ND	0.03	0.08	0.41	0.37	0.22	0.76	1.17	ND	ND	ND	0.32	ND	0.79	ND	ND	ND	4.08	ND	ND	ND	4.77	0.16	ND	ND	ND	ND	0.13	0.07	0.25	0.16	0.09	ND	0.03	0.14	0.05	ND	0.03	0.13	0.07	0.04	ND	ND	0.04	ND	ND	ND	0.44	0.93	ND	0.30	ND	ND	0.34	2.37	ND	1.44	ND	0.61	0.36	0.38	0.35	0.24	4.76	ND	ND	ND	ND	ND	12.59	0.15	0.12	ND	3.83	1.85	ND	ND	ND	ND	0.80	0.15	ND	0.04	ND	ND	0.13	ND	0.11	0.09	0.04	0.05	0.10	0.12	ND	ND	ND	ND	ND	2.12	0.31	0.34	0.62	0.22	0.61	0.99	1.45	0.37	0.48	ND	0.52	0.41	ND	ND	11.28	0.11	ND	ND	5.99	0.08	4.64	0.09	1.24	0.69	ND	ND	ND	0.01	0.01	0.00	0.00	0.01	ND	0.02	0.05
																																																																																																																																																																																																																																																																																																																
Total Analytes	303	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
