eid	sp	collection	depth	temp	tissue	mass	remarks
JWL0001	Horm_cali	V3994-D7	271.2399902	8.038999558	whole		
JWL0002	Horm_cali	D914-T1	100.1	10.179	whole		
JWL0003	Horm_cali	D919-D11	215.1900024	8.166000366	whole		
JWL0004	Bero_cucu	D914-BW1	10	12.974	whole		
JWL0005	Bero_cucu	D914-BW1	10	12.974	whole		
JWL0006	Cydi_redx	D914-D5	632.1400146	5.386000156	whole		
JWL0007	Cydi_redx	V3994-D3	871.3200073	4.460000038	whole		
JWL0008	Verm_loba	D918-D12	1461.400024	2.838999987	whole		
JWL0009	Verm_loba	V3976-SS2	977.789978	3.953999996	whole		
JWL0010	Tjal_pink	D1021-BT	3977.53	1.52	whole		
JWL0011	Tjal_pink	D1021-BT	3977.53	1.52	whole		
JWL0012	Mert_ovum	SEB180630-1	65	5.72	whole		
JWL0012B	Mert_ovum	SEB180630-1	65	5.72	whole		
JWL0013	Bero_arct	SVA180611-2	8.75	-1.11	whole		
JWL0014	Bero_arct	SVA180618-1	8.75	1.11	whole		
JWL0015	Bero_arct	SVA180614-1	8.6	0.56	whole		
JWL0016	Bero_arct	SEB180630-3	47	6.18	whole		
JWL0017	Mert_ovum	GRL180623-4	8.6	-3.33	whole		
JWL0018	Bero_arct	SEB180630-4	47	6.18	whole		
JWL0019	Bero_arct	SEB180701-3	47	6.16	whole		
JWL0020	Bero_arct	SEB180701-4	50	5.74	whole		
JWL0021	Boli_infu	V4034-D1	374.8999939	6.967999935	whole		
JWL0022	Boli_infu	V4034-D1	374.8999939	6.967999935	whole		
JWL0023	Boli_infu	V4139-D5	1002.460022	3.877000093	whole		
JWL0024	Boli_infu	V4139-D5	1002.460022	3.877000093	whole		
JWL0025	Boli_infu	V4139-D7	999.2600098	3.894000053	whole		
JWL0026	Boli_infu	V4139-D7	999.2600098	3.894000053	whole		
JWL0027	Boli_arct	ICL180708-4	8.75	5	whole		
JWL0028	Boli_arct	SVA180614-1	8.6	0.56	whole		
JWL0029	Boli_arct	SVA180614-1	8.6	0.56	whole		
JWL0030	Boli_arct	ICL180627-1	8.75	5	whole		
JWL0031	Mert_ovum	GRL180623-5	8.6	-3.33	whole		
JWL0032	Mert_ovum	GRL180623-5	8.6	-3.33	whole		
JWL0033	Mert_ovum	SEB180630-2	55	5.42	whole		
JWL0034	Boli_arct	GRL180623-3	8.6	-3.33	whole		
JWL0035	Boli_arct	GRL180623-3	8.6	-3.33	whole		
JWL0036	Bero_arct	ICL180708-2	8.75	3.33	whole		
JWL0037	Boli_arct	ICL180627-5	8.75	5	whole		
JWL0038	Boli_arct	ICL180708-4	8.75	5	whole		
JWL0039	Boli_arct	ICL180708-2	8.75	3.33	whole		
JWL0040	Bath_hawa	KM18T2-3	989	4.19	whole		
JWL0041	Bath_hawa	KM18T2-4	989	4.19	whole		
JWL0042	Boli_vitr	M118-BW18	10	27.6	whole		
JWL0042B	Boli_vitr	M118-BW18	10	27.6	whole		
JWL0043	Boli_vitr	M118-BW31	10	27.6	whole		
JWL0044	Boli_vitr	M119-BW7	10	27.6	whole		
JWL0045	Bero_fors	KMT18T4-11/12	250	12.6	whole		
JWL0046	Bero_fors	D860-BW	NA	NA	whole		
JWL0047	Bero_cucu	20170806-BW	10	14.784	whole		
JWL0048	Bero_fivs	M119-MS3	620	5.59	whole		
JWL0049	Bero_fors	D860-BW	NA	NA	whole		
JWL0050	Bath_chun	D329-D1	2179.949951	1.883000016	whole		
JWL0051	Bero_fors	KM18T6-6	2960	1.56	whole		
JWL0052	Bero_ovat	M120-BW38	15	27.8	whole		
JWL0053	Bero_ovat	M126-BW8	15	27.2	whole		
JWL0054	Boli_infu	V4164-D1	996.789978	4	whole		
JWL0055	Boli_infu	V3949-D5	883.5499878	4.31400013	whole		
JWL0056	Boli_infu	D959-BW11	8.67	14.058	whole		
JWL0057	Boli_infu	D614-D11	1456.619995	3.013000011	whole		
JWL0058	Boli_infu	V3710-D1	96.56999969	8.796999931	whole		
JWL0059	Boli_infu	V4034-D4	133.0399933	8.420000076	whole		
JWL0060	Bath_fost	V3903-D7	473.8099976	6.501999855	whole		
JWL0061	Lamp_crue	V3709-SS4	546.6699829	5.894000053	whole		
JWL0062	Lamp_crue	V3949-D4	708.0599976	5.002999783	whole		
JWL0063	Lamp_crue	V468-D9	811.35	4.17	whole		
JWL0064	Lamp_crue	V3903-D8	473.7600098	6.502999783	whole		
JWL0065	Bath_fost	D1138-D10	2313.439941	1.825999975	whole		
JWL0066	Bath_fost	V4139-SS3	640.8300171	5.447999954	whole		
JWL0067	Bath_fost	D919-D5	2776.26001	1.664000034	whole		
JWL0068	Bath_fost	M123-MS7	704	5.2	whole		
JWL0069	Lamp_crue	V3930-SS7	517.6500244	5.644000053	whole		
JWL0070	Tjal_pink	D960-SS7	3964.060059	1.498000026	whole		
JWL0071	Bero_cucu	20170608-BW	8.67	14.058	whole		
JWL0072	Bath_fost	M126-MS1	531	6.13	whole		
JWL0073	Tjal_pink	D960-SS10	NA	NA	whole		
JWL0074	Bath_fost	V3756-D3	572.58	5.995	whole		
JWL0075	Cydi_redx	V4139-D3	980.0300293	3.944000006	whole		
JWL0076	Eur_vexi	M121-MS1	603	5.8	whole		
JWL0077	Bath_hawa	M123-MS6	707	5.2	whole		
JWL0078	Aure_labi	MBA20181208-1	1	16	whole		
JWL0079	Aure_labi	MBA20181208-3	1	16	whole		
JWL0080	Bero_fors	20190326-BW2	10.1	13.218	whole		
JWL0081	Bero_fors	D1138-BW14	10.1	13.377	whole		
JWL0082	Bero_cucu	D1137-BW1	10	13.024	whole		
JWL0083	Holm_cost	MBA20181208-6	1	16	whole		
JWL0084	Holm_cost	MBA20181208-7	1	16	whole		
JWL0085	Leuc_pulc	MBA20190425	1	18	whole		
JWL0086	Leuc_pulc	MBA20190425-1	1	18	whole		
JWL0087	Leuc_pulc	MBA20190425-3	1	18	whole		
JWL0088	Boli_vitr	M118-BW19	10	27.6	whole		
JWL0089	Boli_vitr	M119-BW23	10	27.6	whole		
JWL0090	Bero_cucu	D960-BW	10	14.384	whole		
JWL0091	Cydi_redx	D499-D8	1432.219971	2.941999912	whole		
JWL0092	Cydi_redx	V4163-SS10	454.3399963	6.570000172	whole		
JWL0093	Leuc_pulc	MBA20190425-7	1	18	whole		
JWL0094	Leuc_pulc	MBA20190425-6	1	18	whole		
JWL0095	Leuc_pulc	MBA20190425-5	1	18	whole		
JWL0096	Bent_cten	D1167-D3	3979.209961	1.493000031	whole		
JWL0097	Boli_vitr	M126-BW2	15	27.2	whole		
JWL0098	Tjal_whit	D1165-D10	3975.189941	1.49000001	whole		
JWL0099	Tjal_pink	D1021-BT	3977.53	1.52	whole		
JWL0100	Tjal_pink	D1021-BT	3977.53	1.52	whole		
JWL0101	Bero_cucu	V4233-SS7	655.25	5.447999954	whole		
JWL0102	Cali_anta	ANT20180224-1	1	-1.5	whole		
JWL0103	Bath_chun	D329-D1	2179.949951	1.883000016	whole		
JWL0104	Aure_labi	MBA20181208-5	1	16	whole		
JWL0105	Aure_labi	MBA20181208-3	1	16	whole		
JWL0106	Horm_cali	V4233-SS6	232.0700073	8.038999558	whole		
JWL0107	Tjal_pink	D960-SS7	3964.060059	1.498000026	whole		
JWL0108	Bero_ovat	GOC20070530-1	10	26.44	whole		
JWL0109	Bero_ovat	GOC20070530-2	10	26.44	whole		
JWL0110	Pleu_bach	D1138-BW	12.1	13.377	whole		
JWL0111	Pleu_bach	D1138-BW	12.1	13.377	whole		
JWL0112	Pleu_bach	D1138-BW	12.1	13.377	whole		
JWL0113	Pleu_bach	D1138-BW	12.1	13.377	whole		
JWL0114	Pleu_bach	D1138-BW	12.1	13.377	whole		
JWL0115	Pleu_bach	D1138-BW	12.1	13.377	whole		
JWL0116	Pleu_bach	D1138-BW	12.1	13.377	tentacle		
JWL0117	Pleu_bach	D1138-BW	12.1	13.377	tentacle		
JWL0118	Pleu_bach	D1138-BW	12.1	13.377	tentacle		
JWL0119	Pleu_bach	D1138-BW	12.1	13.377	tentacle		
JWL0120	Pleu_bach	D1138-BW	12.1	13.377	body		
JWL0121	Pleu_bach	D1138-BW	12.1	13.377	body		
JWL0122	Pleu_bach	D1138-BW	12.1	13.377	body		
JWL0123	Pleu_bach	D1138-BW	12.1	13.377	body		
JWL0124	Verm_loba	D1168-D9	434.25	6.644999981	whole		
JWL0125	Lamp_deep	D1164-MS4	2328.51001	1.838999987	whole		
JWL0126	Bath_fost	D1169-D7	1651.589966	2.476000071	whole		
JWL0127	Eupl_dunl	D1169-D6	1651.77002	2.502000093	whole		
JWL0128	Bath_fost	D1167-D2	2550.439941	1.756999969	whole		
JWL0129	Bath_fost	D1169-D1	1684.48999	2.451999903	whole		
JWL0130	Bath_fost	D1167-SS8	2401.159912	1.843000054	whole		
JWL0131	Lamp_crue	D1168-D5	823.5599976	4.749000072	whole		
JWL0132	Eupl_dunl	D1169-D5	1648.109985	2.555999994	whole		
JWL0133	Cten_clea	D1169-D10	376.0299988	7.456999779	whole		
JWL0134	Lamp_crue	D1163-D5	871.1199951	4.385000229	whole		
JWL0135	NA	D1165-D4	3935.75	1.518000007	whole		
JWL0136	Aula_acum	D1168-D3	810.0200195	4.745999813	whole		
JWL0137	Lamp_deep	D1167-SS5	3137.800049	1.60800004	whole		
JWL0138	Tjal_pink	D1167-SS1	3973.209961	1.498999953	whole		
JWL0139	Tjal_pink	D1167-SS1	3973.209961	1.498999953	whole		
JWL0140	Bath_fost	D1164-D4	2850.429932	1.661999941	whole		
JWL0141	Bath_fost	D1168-D6	930.9400024	4.293000221	whole		
JWL0142	Lamp_crue	D1164-D10	2346.959961	1.830000043	whole		
JWL0143	Lamp_deep	D1164-MS5	1961.449951	2.069999933	whole		
JWL0144	Tjal_pink	D1167-SS1	3973.209961	1.498999953	whole		
JWL0145	Lamp_deep	D1167-SS6	3143.290039	1.60800004	whole		
JWL0146	Bath_fost	D1167-D10	3349.030029	1.577999949	whole		
JWL0147	Bath_fost	D1164-D2	2326.959961	1.838999987	whole		
JWL0148	Lamp_crue	D1168-D12	736.0300293	4.947000027	whole		
JWL0149	Cten_clea	D1169-D9	358.5899963	7.527999878	whole		
JWL0150	Eurh_vexi	M120-BW4	10	27.8	whole		
JWL0151	Pleu_bach	D1138-BW	12.1	13.377	tentacle		
JWL0152	Pleu_bach	D1138-BW	12.1	13.377	tentacle		
JWL0153	Boli_infu	SEB180701-5	50	5.26	whole		
JWL0154	Bero_cucu	SEB180701-3	47	6.16	whole		
JWL0155	Boli_infu	SEB180701-5	50	5.26	whole		
JWL0157	Mert_angu	V4322-SS6	202.63	8.68	whole	0.2	"SAXS, cholesterol"
JWL0158	Leuc_pulc	MBA-12AB	1.00	18.00	whole		"SAXS, cholesterol"
JWL0159	Mert_angu	V4322-SS7	205.61	8.63	whole		
JWL0161	Bero_cucu	7/6/18 site 7 Beroe 11B	10.00	1.50	whole		"SAXS, cholesterol"
JWL0164	Tjal_pink	D960-SS10-2	3964.06	1.50	whole		"SAXS, cholesterol"
JWL0166	Leuc_pulc	D1336-BW5	10.00	12.00	whole	0.2	"SAXS, cholesterol"
JWL0167	Leuc_pulc	D1369-BW28	10.00	12.00	whole	0.2	"SAXS, cholesterol"
JWL0168	Llyr_bent	D1339-D4	3760.52	1.53	whole	0.1	
JWL0169	Llyr_deep	D1340-D6	3846.27	1.50	whole	0.2	
JWL0170	Llyr_deep	D1340-D1	2812.81	1.68	whole	0.2	
JWL0171	Bath_fost	D1367-D12	1645.23	2.43	whole	0.1	chol
JWL0172	Bath_fost	D1369-D12	3871.08	1.49	whole	0.1	chol
JWL0173	Bath_fost	D1371-SS5	1342.33	3.02	whole	0.1	chol
JWL0174	Cydi_blac	D1341-D2	2335.30	1.79	whole	0.1	"chol, SAXS"
JWL0175	Cydi_blac	D1367-SS10	2300.00	1.86	whole	0.1	chol
JWL0176	Tjal_pink	D1340-BT3	3972.50	1.50	body	0.1	"tent-body comparison, chol"
JWL0177	Tjal_pink	D1340-D5	3963.23	1.50	body	0.1	"tent-body comparison, chol, SAXS"
JWL0178	Tjal_pink	D1340-D12A	3975.62	1.50	body	0.1	"tent-body comparison, chol"
JWL0179	Tjal_pink	D1340-BT3	3972.50	1.50	tent		
JWL0180	Tjal_pink	D1340-D5	3963.23	1.50	tent		
JWL0181	Tjal_pink	D1340-D12A	3975.62	1.50	tent		
JWL0185	Tjal_pink	D1340-D12B	3975.62	1.50	tent		chol
JWL0188	Tjal_pink	D1340-D12B	3975.62	1.50	body	0.1	chol
JWL0189	Boli_vitr	M122-BW23	10.00	26.00	whole		cholesterol
JWL0190	Boli_vitr	M122-BW27	10.00	26.00	whole	0.2	cholesterol
JWL0191	Bero_cucu	ICL180708-4	10.00	2.00	whole	0.2	"SAXS, chol"
JWL200A	Mamm_colu	D1368 tusk	3100.00	1.50	tusk	0.2	
JWL200B	Mamm_colu	D1368 tusk	3100.00	1.50	tusk	0.2	
JWL200C	Mamm_colu	D1368 tusk	3100.00	1.50	tusk	0.2	
JWL0201	Ecol_wild	BL21 + pET28a 1 bar A	0.00	37.00	whole		hyperbaric growth expt
JWL0202	Ecol_wild	BL21 + pET28a 1 bar B	0.00	37.00	whole	0.2	hyperbaric growth expt
JWL0203	Ecol_wild	BL21 + pET28a 1 bar C	0.00	37.00	whole	0.8	hyperbaric growth expt
JWL0207	Ecol_wild	BL21 + pET28a 500 bar A	5000.00	37.00	whole	0.4	hyperbaric growth expt
JWL0208	Ecol_wild	BL21 + pET28a 500 bar B	5000.00	37.00	whole	1.3	hyperbaric growth expt
JWL0209	Ecol_wild	BL21 + pET28a 500 bar C	5000.00	37.00	whole	0.9	hyperbaric growth expt
JWL0210	Ecol_plpe	BL21 + pPLsCP 1 bar A	0.00	37.00	whole	0.7	hyperbaric growth expt
JWL0211	Ecol_plpe	BL21 + pPLsCP 1 bar B	0.00	37.00	whole	0.9	hyperbaric growth expt
JWL0212	Ecol_plpe	BL21 + pPLsCP 1 bar C	0.00	37.00	whole	0.3	hyperbaric growth expt
JWL0216	Ecol_plpe	BL21 + pPLsCP 500 bar A	5000.00	37.00	whole	1.2	hyperbaric growth expt
JWL0217	Ecol_plpe	BL21 + pPLsCP 500 bar B	5000.00	37.00	whole	0.9	hyperbaric growth expt
JWL0218	Ecol_plpe	BL21 + pPLsCP 500 bar C	5000.00	37.00	whole	1.8	hyperbaric growth expt