	Diacylglycerol Profile (DG)																																																																																																																																																																					
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																																																																																																																																																					
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																																																																																																																																					
	ND = not detected																																																																																																																																																																					
																																																																																																																																																																						
																																																																																																																																																																						
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																																																																																																																																																				
Sample ID		DG 20:3_7.76	DG 21:0_11.25	DG 22:1_8.66	DG 23:3_11.25	DG 24:0_13.35 | 12:0_12:0	DG 26:0_16.62 | 12:0_14:0	DG 27:0_17.76	DG 28:0_19.39	DG 28:0_21.08 | 12:0_16:0	DG 28:1_17.39 | 12:0_16:1	DG 29:0_19.94	DG 29:0_20.73	DG 29:1_19.55 | 13:0_16:1	DG 30:1_21.78 | 12:0_18:1	DG 30:1_21.78 | 14:0_16:1	DG 30:1_22.23 | 12:0_18:1	DG 30:1_22.23 | 14:0_16:1	DG 30:2_18.30 | 14:1_16:1	DG 30:2_18.67 | 14:1_16:1	DG 31:1_23.85 | 15:0_16:1	DG 31:1_24.35	DG 32:0_27.01 | 16:0_16:0	DG 32:1_25.57 | 16:0_16:1	DG 32:1_25.57 | 14:0_18:1	DG 32:2_22.50 | 16:1_16:1	DG 32:2_22.92 | 16:1_16:1	DG 32:3_19.55 | 16:1_16:2	DG 33:0_24.64	DG 33:0_24.94	DG 33:1_26.41 | 15:0_18:1	DG 33:1_26.41 | 16:0_17:1	DG 33:2_24.53 | 16:1_17:1	DG 33:2_24.87 | 16:1_17:1	DG 34:0_27.96 | 16:0_18:0	DG 34:1_26.55	DG 34:1_27.12 | 16:0_18:1	DG 34:2_25.91 | 16:1_18:1	DG 34:2_25.91 | 16:0_18:2	DG 34:3_23.57 | 16:1_18:2	DG 34:3_24.05 | 16:1_18:2	DG 34:3_24.35 | 16:0_18:3	DG 34:3_25.10 | 16:2_18:1	DG 34:4_22.37 | 16:0_18:4	DG 34:4_22.37 | 14:0_20:4	DG 34:5_19.75 | 14:0_20:5	DG 35:0_27.50	DG 35:1_25.73	DG 35:1_27.60 | 17:0_18:1	DG 35:2_26.71 | 17:1_18:1	DG 35:5_21.92 | 15:0_20:5	DG 36:0_28.57 | 18:0_18:0	DG 36:1_27.58 | 16:1_20:0	DG 36:1_28.00 | 18:0_18:1	DG 36:2_27.26 | 18:1_18:1	DG 36:3_26.32 | 18:1_18:2	DG 36:4_24.57 | 18:2_18:2	DG 36:4_24.87 | 18:1_18:3	DG 36:4_25.32 | 18:1_18:3	DG 36:4_25.32 | 16:0_20:4	DG 36:4_25.85 | 16:0_20:4	DG 36:5_24.05 | 16:0_20:5	DG 36:6_20.48 | 16:1_20:5	DG 36:6_20.80 | 16:1_20:5	DG 36:6_21.60 | 14:0_22:6	DG 36:6_25.92	DG 37:1_28.28 | 18:1_19:0	DG 37:2_27.69 | 18:1_19:1	DG 37:5_25.23 | 17:0_20:5	DG 37:5_25.62 | 17:0_20:5	DG 37:6_22.53 | 17:1_20:5	DG 37:6_22.89 | 17:1_20:5	DG 37:6_23.17 | 15:0_22:6	DG 37:6_23.67 | 15:0_22:6	DG 38:1_28.58 | 16:0_22:1	DG 38:1_28.58 | 18:1_20:0	DG 38:2_28.03 | 18:1_20:1	DG 38:3_27.44 | 18:1_20:2	DG 38:3_27.44 | 18:2_20:1	DG 38:4_26.69 | 18:1_20:3	DG 38:4_26.96 | 18:1_20:3	DG 38:4_27.28 | 18:0_20:4	DG 38:5_26.07 | 18:1_20:4	DG 38:5_26.53 | 18:0_20:5	DG 38:5_26.53 | 16:0_22:5	DG 38:6_24.58 | 18:1_20:5	DG 38:6_25.39 | 16:0_22:6	DG 38:7_21.58 | 18:2_20:5	DG 38:7_22.32 | 16:1_22:6	DG 38:7_23.33 | 16:1_22:6	DG 38:8_19.32 | 16:2_22:6	DG 38:9_16.46 | 18:4_20:5	DG 39:2_28.35 | 18:1_21:1	DG 39:2_28.35 | 17:1_22:1	DG 39:2_28.35 | 19:1_20:1	DG 39:4_27.28	DG 39:4_27.67 | 19:0_20:4	DG 39:6_26.32 | 17:0_22:6	DG 39:7_24.42 | 17:1_22:6	DG 39:7_25.17 | 17:1_22:6	DG 40:0_29.73 | 16:0_24:0	DG 40:2_28.60 | 18:1_22:1	DG 40:2_28.60 | 20:1_20:1	DG 40:3_28.14 | 18:1_22:2	DG 40:3_28.14 | 18:2_22:1	DG 40:5_27.28 | 20:1_20:4	DG 40:5_27.62 | 18:0_22:5	DG 40:6_26.25 | 18:1_22:5	DG 40:6_26.66 | 20:1_20:5	DG 40:6_26.66 | 18:1_22:5	DG 40:6_27.01 | 18:0_22:6	DG 40:7_25.69 | 18:1_22:6	DG 40:8_23.32 | 18:2_22:6	DG 40:9_20.64 | 18:3_22:6	DG 40:9_20.94 | 20:4_20:5	DG 40:10_18.23 | 20:5_20:5	DG 41:0_29.98 | 16:0_25:0	DG 41:1_28.01	DG 41:2_28.87 | 18:1_23:1	DG 41:3_28.41 | 18:1_23:2	DG 41:6_27.46 | 19:0_22:6	DG 41:7_26.51 | 19:1_22:6	DG 42:2_29.12 | 18:1_24:1	DG 42:2_29.12 | 20:1_22:1	DG 42:3_28.67 | 18:1_24:2	DG 42:3_28.67 | 20:1_22:2	DG 42:3_28.67 | 18:2_24:1	DG 42:5_28.08 | 20:4_22:1	DG 42:6_27.26 | 20:0_22:6	DG 42:6_27.26 | 20:1_22:5	DG 42:6_27.62 | 20:5_22:1	DG 42:6_27.62 | 20:1_22:5	DG 42:6_27.87 | 20:0_22:6	DG 42:7_27.08 | 20:1_22:6	DG 42:8_26.07 | 20:2_22:6	DG 42:9_24.44 | 20:3_22:6	DG 42:10_21.92 | 20:4_22:6	DG 42:10_22.73 | 20:4_22:6	DG 42:11_20.10 | 20:5_22:6	DG 43:2_29.39	DG 43:3_28.89	DG 43:6_28.01 | 20:5_23:1	DG 43:7_27.53 | 21:1_22:6	DG 43:8_28.30	DG 44:1_30.60	DG 44:2_29.64	DG 44:3_29.14	DG 44:4_28.75 | 22:2_22:2	DG 44:5_28.66 | 20:4_24:1	DG 44:6_28.26 | 20:5_24:1	DG 44:7_27.87 | 22:1_22:6	DG 44:8_27.26 | 22:2_22:6	DG 44:9_26.48 | 22:3_22:6	DG 44:12_21.92 | 22:6_22:6	DG 45:1_29.83	DG 45:3_29.41	DG 45:7_28.17 | 22:6_23:1	DG 45:8_27.67 | 22:6_23:2	DG 45:9_25.51	DG 46:2_30.14 | 22:1_24:1	DG 46:2_30.71	DG 46:3_29.67	DG 46:3_30.14	DG 46:4_27.69	DG 46:5_28.87	DG 46:7_28.42 | 22:6_24:1
JWL0157		0.02	0.02	ND	ND	ND	ND	ND	ND	ND	ND	0.04	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.07	0.01	ND	0.02	ND	ND	ND	0.01	ND	ND	ND	ND	0.10	ND	0.08	0.08	0.02	ND	ND	0.01	ND	0.09	ND	0.37	ND	ND	0.00	0.01	ND	0.18	ND	0.04	0.27	0.17	0.01	0.10	ND	ND	0.10	1.00	0.40	ND	0.17	ND	ND	ND	ND	0.01	0.06	ND	0.02	0.03	ND	ND	0.06	0.03	0.01	0.03	ND	0.06	0.24	0.40	ND	2.13	1.43	0.22	0.62	ND	0.05	ND	ND	ND	ND	ND	ND	0.53	0.12	0.03	0.01	0.01	0.02	ND	ND	0.12	0.05	ND	0.97	ND	2.61	9.76	0.99	0.36	ND	0.69	0.00	ND	ND	ND	ND	0.34	ND	0.02	ND	ND	ND	ND	0.21	0.12	0.10	0.09	0.06	3.79	0.42	0.09	ND	0.09	1.31	ND	ND	ND	0.09	ND	ND	ND	ND	ND	ND	ND	0.78	ND	ND	ND	ND	ND	0.04	ND	0.04	ND	ND	ND	ND	ND	ND	0.31
JWL0159		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.18	0.03	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.09	0.03	0.02	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.26	ND	0.32	0.49	0.25	0.21	ND	0.09	ND	0.46	ND	1.41	ND	ND	0.03	0.08	ND	0.41	0.23	0.10	1.25	0.80	0.11	0.61	ND	0.10	0.63	6.95	2.18	ND	0.44	ND	ND	0.05	0.55	0.17	0.19	ND	0.09	0.15	ND	ND	0.56	0.29	ND	ND	ND	0.68	1.89	3.58	ND	15.01	10.36	0.77	2.45	0.18	0.28	1.19	0.02	ND	0.01	0.05	ND	1.80	0.59	0.15	ND	0.12	0.15	0.05	ND	0.67	0.21	0.47	2.64	0.02	10.54	35.51	4.16	0.98	0.14	2.52	ND	ND	0.01	ND	0.43	0.97	ND	0.16	ND	0.05	ND	ND	8.28	ND	0.85	ND	ND	11.90	1.22	0.41	ND	ND	ND	ND	ND	0.10	0.29	ND	ND	ND	0.06	ND	ND	ND	3.50	0.18	0.04	ND	0.02	ND	0.25	ND	0.04	ND	ND	ND	ND	ND	ND	2.14
JWL0166		0.01	0.02	ND	ND	ND	ND	ND	0.31	ND	0.03	ND	ND	0.01	ND	1.98	ND	ND	0.04	ND	0.10	ND	0.37	2.93	0.18	1.75	ND	0.11	ND	ND	0.04	ND	ND	0.02	0.11	ND	1.89	0.64	0.96	0.24	ND	0.91	ND	2.61	ND	2.90	ND	ND	0.03	0.05	ND	0.10	0.17	0.33	0.70	0.31	ND	0.28	ND	0.10	0.25	3.64	1.43	ND	3.40	ND	ND	ND	ND	0.09	0.02	ND	0.15	0.17	0.14	ND	ND	0.03	0.04	ND	ND	ND	ND	0.54	0.52	1.56	8.95	ND	2.61	ND	0.05	0.74	ND	ND	ND	ND	0.01	0.91	0.17	0.05	ND	ND	ND	ND	0.10	ND	ND	ND	0.23	0.08	4.53	4.35	0.51	0.29	ND	0.74	ND	ND	ND	0.01	0.26	0.11	0.18	ND	ND	ND	ND	ND	0.62	ND	0.76	ND	0.44	2.06	0.25	0.08	ND	ND	ND	ND	ND	ND	0.06	ND	ND	ND	ND	ND	ND	1.21	1.27	ND	ND	ND	ND	ND	ND	0.01	0.01	ND	ND	ND	ND	ND	ND	0.78
JWL0167		ND	0.05	ND	ND	0.07	ND	ND	1.76	ND	ND	ND	ND	ND	ND	ND	0.00	0.01	ND	ND	ND	0.01	0.30	0.04	0.03	ND	ND	ND	0.02	0.02	0.04	ND	ND	ND	0.46	ND	0.30	0.02	0.12	ND	ND	ND	ND	0.03	0.02	ND	ND	0.00	0.02	0.01	ND	1.25	ND	0.12	0.27	0.16	0.09	ND	ND	ND	0.07	0.93	0.05	ND	0.63	ND	ND	ND	ND	0.15	ND	ND	0.12	0.22	0.02	0.01	0.04	ND	ND	ND	ND	0.09	ND	0.61	0.80	0.56	6.74	ND	0.72	0.20	ND	0.03	ND	ND	ND	ND	ND	4.90	0.69	0.20	ND	0.03	ND	ND	ND	ND	1.01	ND	ND	0.30	ND	7.27	0.95	0.25	ND	0.25	ND	ND	ND	ND	1.51	0.81	0.02	ND	ND	ND	ND	ND	ND	ND	ND	0.39	1.54	5.29	0.89	ND	0.02	0.15	1.28	ND	ND	ND	0.20	ND	ND	ND	ND	ND	ND	ND	1.40	0.10	ND	1.76	ND	ND	0.06	ND	ND	ND	ND	ND	ND	ND	0.04	0.45
JWL0168		0.02	0.03	ND	0.01	ND	ND	ND	0.20	ND	ND	ND	0.03	ND	ND	0.19	ND	0.03	0.01	ND	0.01	0.00	0.04	0.39	0.12	0.54	ND	ND	0.02	ND	0.01	0.05	ND	0.13	ND	ND	0.52	1.86	ND	ND	ND	ND	ND	ND	ND	ND	13.11	0.01	ND	0.16	ND	0.15	0.02	0.12	2.05	0.13	ND	0.04	ND	ND	0.05	0.25	0.07	ND	0.13	ND	ND	0.07	ND	ND	ND	0.00	0.03	0.02	0.04	0.04	1.08	0.08	ND	0.02	ND	0.02	0.18	0.04	0.06	ND	2.75	ND	0.37	0.06	ND	ND	0.10	0.06	ND	ND	ND	0.31	0.10	ND	ND	1.16	ND	0.17	ND	ND	ND	0.07	ND	ND	ND	11.77	ND	ND	ND	0.02	ND	ND	0.12	0.03	0.06	0.35	0.30	0.38	0.03	0.02	0.02	0.19	0.06	0.04	0.12	0.08	0.01	4.75	0.33	0.12	0.02	0.04	0.20	0.02	ND	ND	ND	ND	ND	0.14	0.04	ND	0.02	ND	1.31	0.04	ND	0.66	ND	0.01	ND	ND	0.02	0.05	0.01	0.02	ND	0.00	ND	0.25
JWL0169		ND	0.17	ND	0.05	ND	ND	ND	0.25	ND	ND	ND	ND	0.23	ND	5.00	ND	1.35	0.45	0.33	2.73	0.82	1.19	43.56	3.14	41.36	8.88	0.18	0.13	ND	12.34	4.13	3.35	4.89	1.42	ND	90.78	270.64	ND	2.21	2.70	1.71	1.18	1.71	1.12	6.31	ND	ND	ND	33.98	1.55	2.79	ND	33.91	433.96	27.41	ND	3.35	1.03	0.90	5.93	25.24	9.88	3.12	10.06	1.33	4.87	24.72	6.74	1.29	1.14	1.02	3.85	4.65	2.84	1.48	103.92	23.36	ND	2.95	3.53	1.56	22.41	3.65	2.21	37.66	51.81	ND	27.19	3.32	ND	ND	9.06	6.15	ND	ND	ND	15.54	7.51	ND	ND	82.32	ND	17.81	ND	20.42	ND	9.05	20.02	ND	14.22	133.54	2.34	0.51	1.04	2.52	ND	ND	6.72	4.42	5.37	6.21	32.38	ND	3.35	3.76	2.49	6.48	ND	8.39	14.70	ND	0.92	49.92	4.30	0.59	0.45	1.37	7.34	ND	ND	2.72	2.75	0.13	1.24	ND	4.57	3.14	3.66	7.47	22.64	3.20	ND	16.83	0.32	0.82	2.52	0.16	0.27	1.37	ND	1.05	3.20	0.40	0.90	17.38
JWL0170		ND	ND	ND	ND	ND	ND	ND	0.24	ND	ND	ND	ND	ND	ND	0.13	ND	ND	0.02	ND	0.09	ND	0.11	1.00	0.41	0.73	0.08	ND	ND	ND	0.29	0.12	0.07	0.25	0.37	ND	4.02	3.71	ND	0.05	0.03	0.03	ND	0.05	ND	0.08	ND	ND	0.32	1.17	ND	1.35	0.21	1.65	13.78	0.57	ND	0.10	ND	ND	0.12	0.44	0.17	ND	0.15	ND	0.15	0.84	ND	ND	ND	ND	ND	ND	0.44	ND	6.51	0.44	ND	0.07	0.01	0.03	ND	ND	ND	1.06	2.00	ND	0.71	ND	ND	ND	0.37	0.49	ND	0.02	0.01	0.13	0.27	ND	ND	7.12	ND	0.30	0.25	ND	ND	0.14	0.34	0.21	ND	4.48	0.07	ND	ND	ND	ND	0.01	0.72	ND	ND	0.08	3.73	ND	0.49	ND	ND	0.38	ND	ND	0.69	ND	ND	3.30	ND	ND	ND	0.03	ND	ND	ND	ND	0.02	ND	0.14	ND	0.43	0.03	ND	0.30	1.48	ND	ND	0.57	0.02	ND	0.02	ND	ND	0.58	0.71	0.14	ND	0.01	0.05	0.56
JWL0171		ND	ND	ND	ND	0.10	0.04	0.01	0.20	0.03	ND	ND	0.01	ND	0.01	0.02	ND	0.04	ND	ND	0.01	0.03	0.43	0.22	0.11	0.12	ND	ND	ND	ND	0.10	0.03	ND	ND	0.59	ND	1.18	0.77	0.07	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.12	0.13	ND	1.22	ND	0.38	2.57	0.25	0.06	0.03	ND	ND	0.01	ND	ND	ND	0.04	ND	0.01	0.11	ND	ND	ND	ND	ND	ND	0.12	0.07	0.73	ND	ND	0.01	ND	0.01	ND	0.02	0.02	0.20	0.23	ND	0.06	ND	ND	ND	0.06	0.08	ND	0.00	ND	0.03	0.01	ND	0.13	1.02	ND	ND	ND	ND	0.02	ND	0.03	0.04	ND	0.84	ND	ND	ND	ND	0.09	ND	0.09	ND	0.00	0.01	0.69	ND	0.05	ND	0.03	ND	ND	ND	0.05	0.04	ND	0.45	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.00	0.05	ND	0.07	0.01	0.02	0.05	0.09	ND	ND	ND	0.03	ND	ND	ND	ND	0.16	0.05	ND	0.01	ND	ND	ND
