	Triacylglycerol Profile (TG)																																																																																																																																																																																																																																																																																														
JWL0203		ND	0.02	0.00	0.00	0.00	0.00	ND	0.00	0.00	0.02	0.01	0.00	0.01	0.00	0.00	ND	ND	ND	0.01	0.11	0.04	0.04	0.03	ND	ND	0.02	0.00	ND	ND	0.05	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.07	0.02	0.02	0.01	ND	0.01	0.00	ND	0.00	0.00	0.00	0.00	ND	ND	ND	0.09	0.03	ND	ND	ND	0.02	0.02	ND	0.00	0.02	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	ND	0.19	0.21	0.08	ND	ND	0.01	0.01	0.01	0.01	0.01	0.00	0.01	0.01	ND	0.16	0.05	0.02	0.01	0.01	0.00	0.19	0.06	0.09	0.05	0.15	0.09	ND	ND	0.03	0.01	ND	0.01	0.01	ND	0.17	0.07	0.09	0.02	ND	0.05	0.02	0.01	ND	0.01	ND	0.35	0.09	0.07	0.12	0.08	0.04	ND	0.11	0.03	0.05	0.03	0.01	ND	ND	0.09	0.05	0.03	0.04	0.03	0.01	0.01	0.01	0.02	0.00	0.01	0.01	0.01	0.01	ND	0.33	0.45	0.13	0.03	0.03	0.06	0.01	0.03	0.01	0.01	0.03	0.01	0.01	0.02	0.02	0.02	0.01	0.00	0.00	0.33	0.26	0.52	ND	0.03	0.13	0.01	0.04	ND	ND	ND	0.01	0.00	0.01	ND	0.00	ND	0.00	0.01	0.01	0.01	0.00	0.00	0.31	0.14	0.07	0.07	ND	0.37	0.17	ND	0.05	0.03	ND	0.01	0.01	0.00	ND	ND	0.01	0.01	0.01	0.00	0.00	ND	ND	ND	0.01	0.00	0.00	0.00	ND	ND	0.01	0.00	0.01	ND	ND	ND	0.01	0.00	0.00	ND	ND	0.05	0.00	0.00	0.00	0.00	0.01	0.01	ND	ND	0.00	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0207		0.01	0.00	0.00	ND	0.00	ND	0.00	ND	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	ND	0.01	0.03	0.03	0.01	0.01	0.01	ND	0.01	0.00	ND	0.02	0.01	0.01	0.01	0.01	ND	0.01	0.01	ND	0.00	ND	0.00	0.00	0.01	0.01	0.01	0.00	0.01	ND	ND	0.00	0.00	0.00	0.00	0.00	ND	ND	0.00	0.02	0.01	0.01	0.01	0.01	0.00	0.00	0.00	ND	0.01	0.01	0.01	ND	0.00	0.00	0.00	ND	0.00	0.29	0.05	0.05	0.04	ND	0.01	0.00	0.00	0.00	0.00	0.00	0.00	ND	ND	ND	0.08	0.02	0.01	0.00	ND	ND	0.11	0.02	0.03	0.02	0.03	0.03	0.01	ND	0.01	0.01	0.00	0.00	0.00	ND	0.08	0.04	0.02	0.01	0.01	0.01	0.01	0.00	0.00	0.00	ND	0.29	0.07	ND	0.03	0.03	0.01	ND	0.04	0.01	0.01	0.02	ND	ND	0.01	0.05	0.02	0.02	0.02	0.01	ND	ND	0.00	0.01	ND	0.00	0.00	0.01	ND	ND	0.38	0.12	0.07	0.02	ND	0.04	0.02	0.02	ND	0.00	0.01	ND	ND	0.01	0.01	0.01	0.01	ND	0.00	0.24	0.06	0.10	0.06	0.04	0.05	0.01	0.02	ND	0.00	0.02	0.01	0.00	ND	0.00	ND	ND	0.00	0.00	0.00	0.00	ND	0.00	0.08	0.09	0.02	0.02	ND	ND	0.04	ND	0.02	0.00	0.00	0.01	0.01	0.00	0.00	ND	0.00	0.00	0.00	ND	ND	0.00	0.04	0.05	0.01	0.00	0.00	0.00	0.00	ND	ND	ND	ND	ND	0.00	0.00	0.00	0.00	0.00	0.03	0.02	ND	ND	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	ND	ND	ND	0.00	0.01	0.01	ND	0.00	ND	ND	0.02	0.01	ND	ND	ND	0.02	ND	0.00	0.01	ND	ND	ND	0.01	0.00	0.01	0.00	0.00	ND	0.01	0.01	0.00	ND	0.00	ND	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	ND	0.00
JWL0208		0.01	0.01	ND	ND	0.00	0.00	ND	ND	0.00	0.01	0.00	0.00	0.00	ND	ND	0.00	0.00	ND	0.01	0.04	0.04	0.02	0.02	0.01	ND	0.01	ND	0.00	ND	0.01	0.02	0.01	0.01	0.00	0.01	0.00	0.00	0.00	ND	0.00	0.00	0.02	0.02	0.01	0.01	0.01	0.00	0.00	ND	0.00	0.00	0.00	0.00	ND	ND	0.00	0.03	0.01	0.01	0.01	0.01	0.00	0.01	ND	ND	0.01	0.01	0.01	ND	ND	ND	ND	ND	ND	0.35	ND	0.05	0.04	0.02	0.02	0.00	0.00	0.01	0.01	0.00	ND	ND	ND	ND	0.08	0.02	0.01	ND	0.00	0.00	0.15	0.04	ND	ND	0.02	0.02	0.01	0.00	0.01	0.01	ND	ND	0.00	ND	0.09	0.04	0.03	ND	0.01	0.01	0.01	ND	ND	ND	ND	0.17	0.06	0.04	0.03	0.03	0.01	ND	0.03	0.01	0.01	0.01	ND	0.04	ND	0.05	0.03	0.02	0.01	0.01	0.00	0.00	0.01	0.01	ND	0.00	ND	0.01	ND	ND	0.19	0.13	0.05	0.02	0.01	0.02	0.00	0.02	ND	0.01	0.01	0.00	ND	0.01	0.01	0.00	0.01	ND	0.00	0.18	0.07	0.16	ND	0.02	0.05	0.00	0.02	ND	ND	ND	0.01	0.00	0.00	ND	0.00	0.00	ND	0.00	0.00	0.00	ND	ND	0.09	0.09	0.01	0.02	ND	0.15	0.03	ND	0.01	0.01	0.00	0.01	0.00	0.00	0.00	ND	0.00	0.00	0.00	0.00	ND	ND	0.03	ND	0.01	0.00	0.00	ND	0.00	0.00	0.00	0.00	0.00	ND	0.00	ND	0.00	0.00	0.00	ND	0.02	0.01	ND	0.00	0.00	0.00	0.00	ND	ND	0.01	ND	ND	ND	ND	ND	0.02	0.01	ND	ND	ND	ND	ND	0.02	ND	ND	0.00	ND	ND	ND	ND	ND	ND	0.01	ND	ND	ND	ND	0.00	0.00	ND	ND	ND	ND	ND	0.00	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0209		0.01	0.00	0.00	ND	0.00	ND	ND	ND	0.00	0.01	0.00	ND	ND	0.00	ND	ND	0.00	0.00	0.00	0.03	0.02	0.01	0.01	ND	ND	0.01	0.00	ND	0.01	0.01	0.01	0.00	0.00	ND	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.01	0.00	0.00	0.00	0.00	ND	0.00	0.00	0.00	ND	ND	0.00	0.00	0.03	0.01	ND	0.00	ND	0.01	0.01	ND	0.00	0.00	0.01	0.00	0.00	0.00	0.00	ND	0.00	0.00	ND	0.03	0.06	0.03	ND	ND	0.00	0.01	0.00	0.00	0.00	ND	ND	ND	ND	0.05	0.01	0.00	0.00	0.00	0.00	0.09	0.02	0.02	ND	0.04	0.03	ND	ND	0.01	0.00	0.00	0.00	0.00	0.00	0.05	0.02	0.02	0.01	ND	0.01	0.01	0.00	ND	0.00	ND	0.17	ND	ND	0.03	0.03	0.01	0.01	0.03	0.02	0.01	0.01	0.00	ND	ND	0.03	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.01	ND	0.00	0.00	0.01	0.00	0.06	0.20	0.18	0.06	0.01	0.02	0.02	0.01	0.01	0.00	ND	0.01	0.00	ND	0.01	0.01	0.00	0.01	ND	0.00	0.15	0.14	0.29	ND	0.04	0.05	0.01	0.02	0.00	0.00	0.01	0.00	0.00	0.00	ND	ND	0.00	0.00	0.00	0.00	0.00	ND	0.00	0.04	0.07	0.02	0.02	0.01	0.27	0.05	ND	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	ND	ND	0.00	ND	ND	0.00	0.00	0.00	0.00	ND	ND	ND	ND	ND	0.00	ND	ND	ND	ND	ND	0.01	0.01	0.01	ND	0.00	ND	0.00	0.00	0.00	0.01	0.00	0.00	ND	0.00	0.00	0.00	0.01	ND	ND	0.00	ND	0.00	0.00	0.01	0.00	0.00	0.00	0.02	0.00	0.00	0.01	0.00	0.01	0.00	0.01	ND	0.00	0.00	0.00	0.00	0.01	ND	0.00	ND	0.00	0.00	0.00	0.00	0.00	0.00	ND	0.00	0.00	0.00	0.00	0.00
JWL0210		0.05	0.00	ND	0.01	ND	ND	ND	ND	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.04	ND	0.03	0.02	ND	0.03	ND	0.00	ND	ND	0.04	0.01	0.02	0.01	0.01	0.00	ND	ND	0.00	ND	ND	0.00	0.01	0.01	0.01	0.01	0.01	ND	ND	0.00	ND	ND	ND	ND	0.02	ND	0.01	0.04	0.01	ND	ND	ND	ND	ND	ND	ND	0.01	0.01	0.01	0.00	ND	0.00	ND	0.00	0.00	0.20	ND	0.04	0.03	0.01	0.01	0.00	0.00	0.00	0.00	ND	0.00	ND	ND	0.02	0.08	0.01	0.01	0.00	ND	ND	0.10	0.04	0.04	ND	0.01	0.03	0.01	0.00	0.01	0.01	ND	ND	0.00	0.00	0.08	0.03	0.02	0.01	ND	0.01	0.01	0.00	ND	0.00	0.00	0.17	0.05	ND	0.03	0.03	0.01	ND	0.04	0.02	ND	0.02	ND	0.03	0.00	0.05	0.02	0.02	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	ND	0.28	0.09	0.07	0.02	ND	0.03	0.01	0.02	ND	0.01	0.01	0.00	0.00	0.01	0.01	0.01	0.01	0.00	0.00	0.26	0.05	0.08	0.03	0.03	0.04	0.00	0.02	ND	0.00	ND	0.01	0.00	0.00	0.00	0.00	0.00	ND	0.00	0.00	0.00	0.00	0.00	ND	0.11	ND	0.03	ND	0.09	0.02	0.00	0.02	0.00	0.00	0.00	0.00	ND	ND	ND	0.00	0.00	0.00	ND	0.00	ND	0.16	0.12	0.01	0.00	0.00	0.00	ND	ND	ND	ND	0.00	ND	0.00	ND	0.00	0.00	0.00	ND	0.07	0.03	ND	0.00	0.00	ND	ND	ND	ND	0.00	0.00	0.00	ND	ND	0.00	0.04	0.02	0.00	ND	0.00	ND	ND	ND	ND	ND	ND	0.00	ND	ND	0.01	ND	ND	ND	ND	ND	ND	ND	0.00	ND	ND	ND	ND	ND	ND	0.00	ND	0.00	ND	0.00	0.00	0.00	ND	ND	ND	ND
JWL0211		0.02	0.00	ND	0.00	0.00	0.00	0.00	ND	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	ND	ND	0.04	0.03	0.01	0.01	0.01	ND	ND	ND	ND	0.00	0.02	0.01	0.01	0.00	0.01	0.01	0.00	0.01	0.00	0.00	ND	0.00	0.02	0.02	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	ND	0.00	0.02	ND	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	ND	ND	0.01	0.01	0.01	ND	ND	ND	ND	ND	ND	ND	0.06	0.08	0.04	ND	ND	0.01	0.01	0.01	0.00	ND	ND	0.00	0.00	ND	0.08	0.01	0.01	0.00	ND	ND	0.13	0.03	ND	ND	0.04	0.02	ND	ND	0.01	0.00	0.00	0.00	ND	ND	0.07	0.03	0.03	0.01	ND	0.01	0.01	0.00	0.00	0.00	0.00	0.15	0.06	0.04	0.03	0.03	ND	0.01	0.03	0.01	0.01	0.01	0.00	ND	ND	0.04	0.02	0.02	0.01	0.01	ND	ND	0.01	0.02	0.00	0.01	0.00	0.00	0.00	0.16	0.20	0.14	0.08	0.02	ND	0.05	ND	ND	ND	ND	0.01	0.00	0.00	0.01	0.01	0.00	0.01	0.00	0.00	0.21	0.08	0.21	ND	0.03	0.06	0.01	0.03	ND	0.00	0.01	0.01	0.00	0.00	ND	0.00	0.00	ND	0.00	0.00	0.00	0.00	0.00	ND	0.10	0.02	0.02	0.01	0.19	0.04	0.00	0.03	ND	ND	0.01	0.01	0.00	ND	ND	0.00	0.00	0.00	ND	0.00	0.00	ND	ND	0.01	0.00	0.00	0.00	ND	ND	ND	ND	0.01	0.00	ND	ND	0.00	0.00	ND	0.02	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.00	ND	0.00	0.01	0.00	0.04	ND	ND	ND	0.00	0.01	0.02	ND	0.00	0.01	ND	ND	0.00	ND	ND	0.01	0.03	0.01	0.01	0.00	0.01	0.00	0.00	0.01	0.00	ND	0.00	0.01	0.00	0.00	ND	ND	0.01	ND	ND	0.00	ND	ND	ND	ND
JWL0212		0.03	0.00	0.00	ND	ND	ND	ND	ND	0.00	0.01	0.00	0.00	ND	ND	ND	ND	0.01	ND	0.01	0.02	0.02	0.02	0.01	0.01	0.02	ND	ND	ND	0.01	0.03	0.01	0.01	0.01	ND	0.01	ND	ND	0.00	ND	0.00	0.00	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	ND	0.00	0.01	0.00	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.00	0.00	ND	0.01	0.01	0.01	ND	ND	ND	ND	ND	ND	0.24	0.09	0.04	0.04	ND	0.01	0.01	0.01	0.00	0.01	ND	ND	0.00	0.01	0.03	0.07	0.01	0.00	0.00	ND	ND	0.10	0.03	0.03	ND	0.04	0.02	ND	0.02	0.02	0.02	0.01	ND	0.03	0.00	0.08	0.03	0.03	ND	0.01	0.01	0.00	0.00	ND	0.00	0.00	0.24	ND	ND	0.03	0.02	0.01	0.01	0.14	0.12	ND	0.34	0.10	0.08	0.01	0.04	0.02	0.01	0.01	0.01	ND	ND	0.01	0.01	0.00	0.00	0.00	0.03	0.01	ND	0.33	0.13	0.69	ND	ND	2.28	ND	0.02	0.00	ND	0.01	0.00	0.00	0.02	0.01	0.00	0.07	ND	ND	0.25	0.07	0.71	ND	1.90	ND	0.23	0.08	0.07	0.02	ND	0.01	0.00	ND	0.00	0.00	0.00	ND	ND	ND	0.02	ND	ND	0.20	0.09	0.01	0.03	0.01	0.34	0.06	ND	ND	ND	0.00	0.01	0.01	0.00	ND	ND	0.01	0.00	ND	ND	ND	ND	0.10	ND	0.01	0.00	0.00	0.00	0.00	0.00	0.00	ND	ND	ND	ND	0.00	0.00	0.00	0.00	ND	0.04	0.03	ND	0.00	0.00	ND	0.00	0.01	ND	0.02	0.00	0.00	ND	ND	ND	ND	ND	0.00	0.00	0.00	ND	ND	ND	ND	ND	ND	0.00	ND	ND	ND	ND	ND	ND	ND	0.00	ND	ND	ND	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.00	ND	0.00	ND	ND	ND	ND
JWL0216		0.02	0.00	0.00	ND	ND	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	ND	0.03	0.03	0.01	0.03	0.02	ND	ND	0.00	0.00	ND	0.02	0.01	0.01	0.01	0.01	ND	0.01	ND	0.00	ND	ND	0.00	0.01	0.01	0.01	0.01	0.00	0.00	ND	ND	0.00	0.00	0.00	0.00	0.01	ND	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	ND	0.01	0.05	0.04	0.02	0.01	0.01	0.03	0.01	ND	ND	ND	0.01	0.01	0.01	0.10	0.01	0.01	0.00	ND	0.00	0.15	0.05	ND	ND	0.05	0.03	ND	0.03	0.02	0.02	0.02	ND	0.03	0.00	0.10	0.05	0.03	ND	0.01	0.01	0.01	0.00	0.00	0.00	ND	0.24	0.07	0.05	0.03	0.03	0.01	0.01	0.13	0.16	ND	0.32	0.13	0.01	ND	0.06	0.03	0.02	0.01	0.00	ND	ND	0.01	0.02	0.00	0.00	0.00	0.04	0.01	ND	0.34	0.13	1.15	ND	ND	3.35	ND	0.03	0.01	ND	0.01	0.00	0.00	0.03	0.02	0.01	0.16	ND	ND	0.23	0.06	1.43	ND	3.59	ND	ND	ND	0.03	ND	ND	0.01	0.01	ND	0.00	ND	ND	ND	ND	ND	0.05	ND	ND	0.14	0.10	0.02	0.12	ND	0.70	ND	0.02	0.02	0.00	0.00	0.01	0.00	0.00	ND	0.01	0.00	0.00	0.00	0.00	ND	ND	0.06	ND	0.01	0.00	0.00	0.00	0.00	ND	0.00	0.00	ND	ND	0.00	0.00	ND	ND	ND	ND	0.04	0.02	ND	0.00	0.00	0.00	ND	0.00	ND	0.01	0.00	0.00	ND	ND	ND	ND	ND	0.00	0.00	0.00	ND	ND	ND	ND	ND	0.01	0.00	ND	ND	ND	ND	ND	ND	ND	0.00	ND	ND	ND	ND	0.00	0.00	ND	ND	ND	ND	0.00	0.00	ND	ND	ND	0.00	ND	ND	0.00	ND
JWL0217		0.02	0.01	0.00	0.00	0.00	ND	0.00	0.00	0.00	0.01	0.00	0.00	0.00	ND	ND	0.00	0.00	ND	ND	0.04	0.03	0.02	0.02	0.01	0.00	ND	ND	ND	ND	0.02	0.02	0.01	0.01	ND	0.00	0.00	0.00	0.00	0.00	ND	0.00	0.02	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	ND	ND	0.00	0.02	0.01	0.01	0.01	0.01	0.00	0.00	ND	ND	0.01	0.01	0.01	ND	0.00	ND	0.00	ND	ND	ND	0.05	0.05	0.03	0.01	ND	0.00	0.01	0.00	0.00	ND	ND	ND	ND	0.01	0.08	0.01	0.00	0.00	0.00	ND	0.12	ND	0.03	0.03	0.03	0.03	0.01	0.00	0.01	0.00	0.00	ND	0.00	ND	0.06	0.02	0.03	0.01	ND	0.01	0.00	0.00	ND	0.00	0.00	0.18	0.05	ND	0.03	0.03	0.01	ND	0.04	0.02	ND	0.01	0.00	0.01	0.01	0.05	0.02	0.01	0.01	0.00	0.00	0.00	0.01	0.01	0.00	0.01	0.00	0.01	ND	ND	0.32	0.11	0.06	0.01	0.01	0.08	ND	0.01	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.01	ND	ND	0.17	0.06	0.09	0.06	0.13	ND	0.01	0.01	ND	ND	0.02	0.00	0.00	0.00	ND	0.00	0.00	0.00	0.01	ND	0.00	ND	ND	ND	0.10	0.01	0.03	ND	0.13	0.03	0.00	0.01	0.00	ND	0.01	0.00	ND	0.00	0.00	0.01	0.00	ND	ND	ND	0.00	ND	ND	0.01	0.00	0.00	ND	0.00	0.00	ND	ND	0.00	0.00	ND	ND	0.00	0.00	0.00	0.03	0.03	0.01	ND	0.00	0.00	ND	0.00	0.00	0.03	0.00	ND	ND	0.00	0.01	ND	0.02	0.01	ND	0.00	0.00	0.01	0.01	0.02	0.00	0.01	ND	0.01	0.00	0.01	0.00	ND	0.02	0.01	0.03	ND	0.01	0.00	0.00	ND	0.00	ND	0.00	0.01	0.00	0.00	ND	0.00	0.01	0.00	ND	0.00	ND	ND	0.00	ND
JWL0218		0.03	0.01	0.00	0.01	ND	ND	ND	ND	0.00	0.02	0.01	0.01	ND	0.01	0.01	0.01	0.01	0.00	0.01	0.08	0.10	0.05	0.06	0.07	ND	ND	ND	0.00	ND	0.05	0.02	0.04	0.02	0.03	ND	0.02	0.01	0.01	0.00	0.01	0.00	0.05	0.04	0.03	0.02	0.02	0.01	0.01	ND	ND	ND	ND	ND	0.03	0.00	ND	0.10	0.04	0.06	ND	ND	0.04	ND	0.07	ND	0.01	0.02	0.01	ND	0.01	0.01	ND	ND	ND	0.57	0.10	0.12	0.07	0.03	0.03	0.38	0.19	ND	ND	ND	ND	0.38	ND	0.01	0.19	0.05	0.03	0.02	0.01	0.01	0.17	0.05	0.10	0.04	0.34	0.15	ND	1.20	0.69	0.32	0.27	ND	0.72	ND	0.20	0.09	0.12	0.04	ND	0.05	0.04	0.05	0.03	0.08	ND	0.31	0.09	0.01	0.29	0.22	ND	0.06	2.55	2.03	ND	9.24	ND	0.10	0.04	0.12	0.06	0.10	0.07	0.03	ND	ND	0.54	0.24	0.19	ND	ND	1.62	0.34	ND	0.58	1.37	12.54	ND	ND	40.11	ND	ND	ND	ND	0.06	0.02	ND	1.12	0.44	ND	5.22	ND	ND	0.52	1.39	15.68	ND	38.38	ND	0.55	ND	0.24	ND	ND	0.03	0.01	0.01	0.01	ND	ND	ND	0.22	ND	1.83	ND	ND	0.29	0.36	0.20	4.87	ND	8.96	0.32	ND	0.07	0.07	0.01	0.01	0.01	0.01	0.00	0.01	0.02	0.01	0.01	0.01	ND	ND	0.17	0.22	0.01	0.01	0.01	0.01	ND	ND	0.01	ND	0.97	0.01	ND	0.00	0.01	0.00	0.00	0.08	0.09	0.06	ND	ND	ND	ND	0.02	0.02	0.08	0.01	ND	0.00	0.00	0.02	ND	0.06	ND	0.70	0.01	0.00	0.01	0.05	0.06	ND	0.01	0.03	0.01	0.01	0.01	0.02	0.01	0.03	0.02	ND	0.00	0.04	0.02	ND	ND	0.01	0.00	0.00	0.02	0.01	ND	0.01	ND	0.02	0.00	0.00	0.01	ND	ND	0.00	ND
																																																																																																																																																																																																																																																																																															
Total Analytes	286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
