	Lyso-Phosphatidylethanolamine Profile;  LPE																																																		
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																																		
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																		
	ND = not detected																																																		
																																																			
																																																			
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																																	
Sample ID		LPE 13:1_4.45	LPE 14:0_5.63	LPE 15:0_6.13	LPE 16:0_6.71	LPE 16:1_5.90	LPE 16:1_6.20	LPE 17:0_7.32	LPE 17:1_6.40	LPE 17:1_6.74	LPE 18:0_7.75	LPE 18:0_8.00	LPE 18:1_6.96	LPE 18:2_6.23	LPE 18:3_5.65	LPE 19:0_8.42	LPE 19:0_8.67	LPE 19:1_7.58	LPE 20:0_9.06	LPE 20:0_9.38	LPE 20:1_8.16	LPE 20:2_7.29	LPE 20:3_6.59	LPE 20:4_6.07	LPE 20:5_5.50	LPE 20:7_7.29	LPE 21:1_8.81	LPE 21:2_10.15	LPE 21:5_5.49	LPE 22:0_11.03	LPE 22:1_9.21	LPE 22:1_9.47	LPE 22:2_8.52	LPE 22:2_9.09	LPE 22:3_7.79	LPE 22:5_6.37	LPE 22:5_6.62	LPE 22:6_6.00	LPE 22:7_8.61	LPE 23:1_10.19	LPE 23:5_6.55	LPE 24:1_10.63	LPE 24:1_11.07	LPE 24:5_7.37	LPE 24:6_6.83	LPE 24:7_8.75	LPE 24:8_8.75	LPE 25:6_6.79	LPE 25:8_9.40	LPE 26:7_10.16	LPE 26:8_10.14
JWL0157		ND	ND	0.04	4.97	0.10	ND	0.99	0.07	0.08	1.21	8.32	11.83	0.50	0.05	ND	0.09	0.50	ND	0.36	3.60	0.50	0.16	0.40	1.80	0.05	0.11	ND	ND	ND	ND	1.52	0.05	ND	ND	ND	ND	3.68	ND	0.06	0.20	ND	0.38	ND	ND	ND	ND	0.12	ND	ND	ND
JWL0159		ND	1.11	ND	22.73	0.65	ND	5.54	ND	ND	7.57	51.53	65.72	2.42	ND	0.58	1.35	3.31	ND	4.27	41.95	2.51	0.55	1.64	12.60	ND	1.99	ND	ND	0.61	ND	21.87	0.64	ND	ND	ND	ND	12.36	ND	1.26	0.70	ND	4.85	ND	ND	ND	ND	ND	ND	ND	ND
JWL0166		ND	0.77	0.36	28.71	0.36	0.24	4.13	0.13	0.37	2.27	19.06	10.62	0.48	0.07	0.40	0.22	0.47	ND	0.43	6.67	0.69	0.19	0.43	3.50	0.09	0.04	ND	0.18	0.22	ND	2.06	0.05	0.11	0.02	ND	0.08	5.64	ND	0.03	0.15	0.38	1.20	ND	ND	ND	ND	0.07	ND	ND	0.05
JWL0167		ND	1.29	1.11	40.94	0.36	0.46	14.47	ND	1.61	11.48	34.61	17.63	1.73	0.16	1.36	0.93	1.78	0.08	1.39	11.57	2.35	0.43	0.53	2.45	0.08	0.15	ND	ND	0.44	0.23	2.98	0.09	0.20	ND	ND	0.19	3.98	ND	0.07	ND	0.61	1.01	ND	ND	ND	ND	ND	ND	ND	ND
JWL0168		0.03	0.12	0.03	2.37	0.29	0.06	0.25	0.04	ND	0.10	0.47	6.33	0.03	0.13	ND	ND	0.16	ND	ND	1.78	0.17	0.05	1.40	4.96	ND	ND	ND	ND	ND	0.06	1.16	ND	0.09	ND	ND	0.11	6.70	ND	ND	ND	ND	0.07	ND	ND	ND	ND	0.03	ND	ND	ND
JWL0169		0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0170		0.03	0.48	0.26	7.17	0.94	ND	0.84	0.33	0.03	ND	3.80	19.49	0.23	ND	0.08	0.03	0.37	ND	0.02	6.52	0.13	0.05	0.36	1.13	ND	0.04	ND	ND	ND	ND	3.19	ND	0.03	ND	ND	0.09	4.56	ND	0.05	0.04	ND	0.88	ND	ND	ND	ND	0.18	ND	ND	ND
JWL0171		ND	0.16	0.24	3.86	0.16	ND	0.62	0.06	ND	ND	2.22	7.10	0.08	ND	ND	ND	0.14	ND	ND	3.59	0.15	ND	0.57	1.53	ND	0.07	ND	ND	ND	0.12	0.67	ND	0.19	ND	ND	ND	0.82	ND	ND	ND	ND	0.13	ND	ND	ND	ND	ND	ND	ND	ND
JWL0172		0.03	0.06	0.08	2.44	0.26	ND	0.46	0.15	0.01	0.25	2.75	6.52	0.12	0.02	0.05	0.05	0.27	ND	0.05	5.70	0.15	0.04	0.41	2.02	0.01	0.12	ND	ND	ND	0.06	0.99	0.02	ND	ND	ND	0.05	3.37	ND	0.05	0.01	ND	0.15	ND	ND	0.02	0.03	0.04	ND	0.11	0.08
JWL0173		0.03	0.06	0.09	6.24	0.08	ND	0.50	0.04	ND	0.37	3.48	6.36	0.14	ND	0.06	0.05	0.15	ND	0.06	4.43	0.22	0.04	0.22	1.07	0.03	ND	ND	ND	ND	ND	0.21	ND	0.04	ND	ND	0.05	1.44	ND	ND	ND	ND	0.09	ND	ND	ND	0.06	0.02	ND	0.05	0.16
JWL0174		0.03	0.07	0.04	3.11	0.08	ND	0.62	0.04	ND	ND	4.32	10.04	0.05	ND	ND	0.06	0.22	ND	0.07	4.71	0.28	0.04	0.50	1.61	0.02	0.19	ND	ND	0.03	ND	3.47	ND	ND	ND	ND	ND	1.63	ND	ND	0.02	ND	0.23	ND	ND	ND	0.08	0.09	ND	0.05	0.06
JWL0175		0.03	0.05	0.02	2.23	0.07	ND	0.57	0.04	ND	ND	6.57	7.40	0.05	ND	0.03	0.18	0.46	ND	0.09	12.65	0.54	0.07	0.34	3.13	0.05	0.25	ND	ND	0.02	ND	9.38	0.05	ND	ND	ND	ND	1.93	0.05	0.02	0.05	ND	0.15	0.03	ND	ND	0.03	0.09	ND	0.09	0.12
JWL0176		ND	0.20	0.09	3.49	0.09	0.03	1.62	0.07	ND	0.74	6.01	11.50	0.11	ND	0.13	0.34	0.97	0.04	0.19	12.29	1.57	0.33	2.54	5.82	0.05	0.29	0.05	0.03	0.12	ND	12.09	0.06	0.97	0.05	0.02	0.09	6.40	0.06	0.51	0.05	ND	2.98	0.09	0.08	ND	0.14	0.32	0.05	0.03	ND
JWL0177		0.03	0.13	0.03	1.05	0.12	ND	0.55	0.03	ND	0.32	2.77	9.52	0.07	ND	0.11	0.20	0.34	0.02	0.12	3.65	0.85	0.16	0.73	1.49	0.04	0.14	ND	ND	0.05	ND	4.62	0.06	0.22	ND	0.02	ND	1.20	0.06	0.34	ND	ND	2.30	0.02	0.02	0.07	0.22	0.13	0.04	0.07	0.27
JWL0178		ND	0.34	0.16	5.97	0.39	ND	2.85	0.21	ND	1.58	7.38	23.77	0.28	ND	0.44	0.63	1.98	0.13	0.33	15.60	2.58	0.68	2.09	7.07	0.07	0.57	ND	ND	0.16	0.72	14.19	0.31	0.34	ND	0.10	ND	7.07	0.09	1.15	ND	ND	6.35	0.13	0.16	ND	0.09	0.29	ND	ND	0.18
JWL0179		0.03	0.09	0.04	2.62	0.02	ND	1.06	0.03	ND	0.36	2.29	7.15	0.08	ND	0.04	0.06	0.37	ND	0.05	5.66	0.74	0.12	0.35	0.86	0.05	0.08	0.01	0.02	0.02	0.22	2.96	0.02	0.04	0.01	0.02	0.02	3.33	0.02	0.10	0.03	0.07	0.81	0.05	0.06	0.03	0.08	0.18	ND	0.02	0.07
JWL0180		0.03	0.16	0.04	2.22	0.06	ND	0.89	0.03	ND	ND	4.77	7.99	0.08	ND	0.04	0.10	0.34	ND	0.08	5.76	0.97	0.17	0.42	0.84	0.04	0.09	0.02	0.02	0.02	ND	3.47	0.03	0.01	0.01	0.02	0.04	3.23	0.03	0.15	0.03	ND	1.60	0.03	0.05	0.02	0.08	0.13	0.02	0.02	0.06
JWL0181		0.03	0.04	0.02	1.10	0.01	ND	0.45	0.02	ND	0.15	1.65	3.23	0.03	ND	0.02	0.06	0.17	ND	0.04	3.23	0.33	0.05	0.15	0.36	0.02	0.07	0.01	0.01	0.03	0.24	3.19	0.01	0.03	ND	0.01	0.02	1.46	0.04	0.11	ND	0.07	0.95	0.02	0.02	0.05	0.17	0.05	0.03	0.07	0.24
JWL0185		0.02	0.11	0.05	3.14	0.05	ND	1.29	0.04	ND	0.66	4.52	11.02	0.08	ND	0.10	0.21	0.63	0.03	0.17	9.20	0.99	0.15	0.25	0.66	0.09	0.23	0.04	ND	0.06	0.84	9.25	0.07	0.02	ND	ND	0.03	3.18	0.10	0.39	0.03	0.28	3.12	0.04	0.10	0.06	0.17	0.15	0.06	0.05	0.20
JWL0188		0.03	0.09	0.03	2.31	0.05	ND	1.10	0.03	ND	0.29	4.15	6.10	0.04	ND	0.09	0.21	0.66	ND	0.14	9.02	0.91	0.15	0.23	0.70	0.07	0.26	0.03	0.02	0.04	ND	8.48	0.08	0.02	0.01	ND	0.02	1.15	0.07	0.48	0.03	ND	1.89	0.06	0.06	0.04	0.13	0.17	0.05	0.03	0.12
JWL0189		ND	0.15	0.28	8.38	0.06	0.07	5.14	0.15	ND	2.17	17.09	2.27	0.11	ND	0.15	0.99	0.27	0.21	0.74	0.68	0.12	ND	0.28	0.82	0.09	ND	ND	ND	0.11	0.17	0.29	ND	0.06	ND	ND	0.20	0.89	0.11	ND	0.04	0.41	0.22	ND	ND	0.04	0.09	ND	ND	ND	0.14
JWL0190		ND	ND	ND	0.24	ND	ND	0.27	ND	ND	0.14	0.96	1.37	ND	ND	ND	0.13	0.41	ND	0.09	2.14	0.15	ND	0.39	0.30	ND	0.09	ND	ND	ND	ND	0.36	ND	ND	ND	ND	ND	0.65	ND	ND	ND	ND	0.08	ND	ND	ND	ND	ND	ND	0.07	ND
JWL0191		ND	18.83	4.22	110.06	3.67	2.30	13.42	1.34	0.93	15.60	65.73	61.84	4.91	0.96	2.23	1.53	1.08	0.27	1.35	31.99	3.69	1.03	0.97	9.49	ND	0.53	ND	0.11	ND	5.51	61.38	0.32	ND	0.11	ND	ND	11.81	ND	ND	ND	0.29	3.00	0.14	ND	ND	ND	0.81	ND	ND	ND
																																																			
Total Analytes	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	45	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1
