	Plasmenyl Phosphatidylethanolamine Profile; P-PE																																																																																																																																								
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																																																																																																																								
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																																																																																																								
	ND = not detected																																																																																																																																								
																																																																																																																																									
																																																																																																																																									
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																																																																																																																							
Sample ID		P-PE 32:1_20.35	P-PE 34:1_24.41 | P-16:0/18:1	P-PE 34:2_21.51 | P-16:0/18:2	P-PE 34:4_16.83 | P-14:0/20:4	P-PE 34:5_14.64 | P-14:0/20:5	P-PE 35:5_16.35 | P-15:0/20:5	P-PE 36:1_26.53 | P-16:0/20:1	P-PE 36:1_26.53 | P-22:1/14:0	P-PE 36:2_24.73 | P-18:1	P-PE 36:4_19.62 | P-16:0/20:4	P-PE 36:4_21.17 | P-16:0/20:4	P-PE 36:5_15.59 | P-16:0/20:5	P-PE 36:5_16.96 | P-16:0/20:5	P-PE 36:5_18.53 | P-16:0/20:5	P-PE 36:6_15.22 | P-16:1/20:5	P-PE 36:6_16.17 | P-14:0/22:6	P-PE 36:6_16.17 | P-16:1/20:5	P-PE 37:1_27.12 | P-22:1/15:0	P-PE 37:4_21.71 | P-17:0/20:4	P-PE 37:4_22.67 | P-17:0/20:4	P-PE 37:4_23.23 | P-17:0/20:4	P-PE 37:5_19.14 | P-17:0/20:5	P-PE 37:5_19.83 | P-17:0/20:5	P-PE 37:5_20.14 | P-17:0/20:5	P-PE 37:5_20.69 | P-17:0/20:5	P-PE 37:6_18.14 | P-15:0/22:6	P-PE 38:1_26.83 | P-20:0/18:1	P-PE 38:1_27.60 | P-22:1/16:0	P-PE 38:1_27.60 | P-18:0/20:1	P-PE 38:2_26.69 | P-20:1/18:1	P-PE 38:3_25.44 | P-20:1/18:2	P-PE 38:4_22.19 | P-18:0/20:4	P-PE 38:4_23.78 | P-18:0/20:4	P-PE 38:4_24.39 | P-18:0/20:4	P-PE 38:4_25.08 | P-18:0/20:4	P-PE 38:5_19.60 | P-18:0/20:5	P-PE 38:5_21.26 | P-18:0/20:5	P-PE 38:5_21.60 | P-18:1/20:4	P-PE 38:5_21.92 | P-18:0/20:5	P-PE 38:5_21.92 | P-18:1/20:4	P-PE 38:5_22.82 | P-18:0/20:5	P-PE 38:6_18.71 | P-16:0/22:6	P-PE 38:6_19.01 | P-18:1/20:5	P-PE 38:6_19.64 | P-16:0/22:6	P-PE 38:6_19.64 | P-18:1/20:5	P-PE 38:6_20.30 | P-16:0/22:6	P-PE 38:7_16.14 | P-18:2/20:5	P-PE 38:7_16.42 | P-16:1/22:6	P-PE 38:7_16.76 | P-16:1/22:6	P-PE 39:1_27.48 | P-21:0/18:1	P-PE 39:2_27.26 | P-21:1/18:1	P-PE 39:2_27.26 | P-22:1/17:1	P-PE 39:2_27.26 | P-20:1/19:1	P-PE 39:3_23.26	P-PE 39:4_20.78	P-PE 39:4_25.78 | P-19:0/20:4	P-PE 39:4_26.19 | P-19:0/20:4	P-PE 39:5_18.23	P-PE 39:5_23.55 | P-19:1/20:4	P-PE 39:5_24.03 | P-19:0/20:5	P-PE 39:5_24.76 | P-19:0/20:5	P-PE 39:6_21.05 | P-19:1/20:5	P-PE 39:6_21.57 | P-17:0/22:6	P-PE 39:6_21.85 | P-17:0/22:6	P-PE 39:6_22.37 | P-17:0/22:6	P-PE 40:1_27.76 | P-22:0/18:1	P-PE 40:2_27.67 | P-22:1/18:1	P-PE 40:2_27.67 | P-20:1	P-PE 40:3_27.00 | P-22:1/18:2	P-PE 40:3_27.00 | P-20:1/20:2	P-PE 40:4_25.55 | P-20:0/20:4	P-PE 40:4_26.89 | P-20:0/20:4	P-PE 40:5_23.57 | P-20:0/20:5	P-PE 40:5_25.23 | P-20:1/20:4	P-PE 40:5_26.01 | P-20:0/20:5	P-PE 40:6_21.33 | P-18:0/22:6	P-PE 40:6_22.53 | P-20:2/20:4	P-PE 40:6_23.07 | P-20:1/20:5	P-PE 40:6_23.57 | P-18:0/22:6	P-PE 40:6_23.57 | P-20:1/20:5	P-PE 40:6_24.41 | P-18:0/22:6	P-PE 40:7_19.96 | P-20:2/20:5	P-PE 40:7_19.96 | P-20:3/20:4	P-PE 40:7_20.76 | P-18:1/22:6	P-PE 40:7_22.17 | P-18:1/22:6	P-PE 40:8_17.17 | P-20:3/20:5	P-PE 41:1_28.10 | P-22:0/19:1	P-PE 41:2_28.01 | P-22:1/19:1	P-PE 41:2_28.01 | P-21:1/20:1	P-PE 41:4_26.44 | P-21:0/20:4	P-PE 41:5_22.51	P-PE 41:5_25.26 | P-21:0/20:5	P-PE 41:5_26.21 | P-21:1/20:4	P-PE 41:6_18.85	P-PE 41:6_23.23 | P-19:0/22:6	P-PE 41:6_24.44 | P-19:0/22:6	P-PE 41:6_24.44 | P-21:1/20:5	P-PE 41:6_24.87 | P-21:1/20:5	P-PE 41:6_25.32 | P-19:0/22:6	P-PE 41:6_25.78 | P-19:0/22:6	P-PE 41:7_22.71 | P-19:1/22:6	P-PE 41:7_24.19 | P-19:1/22:6	P-PE 42:1_28.39 | P-22:0/20:1	P-PE 42:2_28.30 | P-22:1/20:1	P-PE 42:3_27.78 | P-22:1/20:2	P-PE 42:4_27.07 | P-22:0/20:4	P-PE 42:5_26.26 | P-22:0/20:5	P-PE 42:5_26.89 | P-22:1/20:4	P-PE 42:6_25.03 | P-20:0/22:6	P-PE 42:6_26.01 | P-22:1/20:5	P-PE 42:7_23.85 | P-22:2/20:5	P-PE 42:7_24.60 | P-20:1/22:6	P-PE 42:8_21.19 | P-22:3/20:5	P-PE 42:8_21.67 | P-20:2/22:6	P-PE 42:8_22.55 | P-20:2/22:6	P-PE 42:9_18.96 | P-20:3/22:6	P-PE 43:2_28.57 | P-22:1/21:1	P-PE 43:2_28.57 | P-23:1/20:1	P-PE 43:5_27.37 | P-23:1/20:4	P-PE 43:6_22.78	P-PE 43:6_26.08 | P-21:0/22:6	P-PE 43:6_26.75 | P-23:1/20:5	P-PE 43:7_25.55 | P-21:1/22:6	P-PE 43:7_25.83 | P-21:1/22:6	P-PE 43:9_17.75	P-PE 44:1_28.92 | P-22:0/22:1	P-PE 44:2_28.82 | P-22:1	P-PE 44:2_28.82 | P-24:1/20:1	P-PE 44:5_27.42 | P-22:0/22:5	P-PE 44:5_27.78 | P-24:1/20:4	P-PE 44:5_27.78 | P-22:1/22:4	P-PE 44:6_26.80 | P-22:0/22:6	P-PE 44:6_27.28 | P-22:1/22:5	P-PE 44:6_27.28 | P-24:1/20:5	P-PE 44:7_26.62 | P-22:1/22:6	P-PE 44:8_25.19 | P-22:2/22:6
JWL0157		ND	3.23	10.24	0.50	3.20	3.16	0.91	ND	0.85	5.21	27.17	ND	3.72	83.63	3.81	3.73	1.81	ND	0.35	0.49	3.21	0.49	3.25	2.50	7.17	ND	ND	1.19	0.27	0.73	2.21	ND	4.30	1.83	14.46	0.74	4.03	3.42	3.45	ND	11.74	0.92	12.51	0.08	0.34	25.82	7.03	ND	ND	ND	ND	ND	ND	0.35	0.73	ND	0.43	ND	ND	ND	0.89	0.47	ND	0.87	ND	5.16	6.24	1.26	5.45	ND	1.20	0.32	1.89	5.74	0.68	ND	ND	5.98	0.84	ND	7.78	0.57	ND	1.71	ND	ND	1.75	2.43	ND	ND	1.53	0.30	0.97	ND	ND	ND	ND	1.48	ND	ND	ND	ND	22.43	19.73	1.41	11.96	12.98	28.77	10.46	75.08	0.52	14.28	ND	ND	ND	ND	ND	0.68	1.09	0.75	1.01	1.29	ND	1.11	ND	1.42	1.62	0.45	2.25	0.53	ND	45.79	4.53	ND	44.24	1.93
JWL0159		1.45	15.28	45.23	1.81	19.78	29.20	3.37	ND	1.95	121.19	108.03	3.62	10.65	273.61	117.14	69.15	20.29	ND	ND	2.19	14.79	2.59	16.93	14.32	42.39	1.55	2.75	9.12	ND	3.61	12.00	4.80	17.47	5.60	42.02	35.38	16.72	12.96	24.61	ND	37.27	2.77	63.64	ND	16.53	136.80	58.69	ND	2.55	1.96	0.70	ND	0.85	ND	3.82	ND	ND	ND	ND	1.59	3.69	1.29	ND	5.45	11.78	39.67	38.30	10.36	22.64	ND	9.08	ND	17.01	22.64	1.77	1.94	ND	44.13	4.93	ND	31.56	1.77	ND	9.83	ND	ND	11.70	12.59	ND	1.70	3.99	2.44	3.21	ND	ND	ND	ND	5.51	ND	ND	ND	ND	68.28	82.92	10.98	55.94	84.29	92.34	45.72	168.32	3.88	80.28	ND	ND	ND	ND	0.66	1.74	ND	ND	5.62	2.91	ND	3.59	27.45	5.76	9.39	2.34	5.57	1.39	ND	124.65	9.75	ND	208.00	5.81
JWL0166		0.14	1.78	ND	ND	0.77	0.82	ND	0.92	0.23	ND	6.20	ND	0.51	32.40	0.34	0.84	0.21	0.11	ND	ND	0.30	ND	ND	0.95	1.51	0.35	2.37	0.37	ND	8.61	1.06	ND	0.70	ND	2.12	ND	1.57	0.56	0.68	ND	8.24	1.30	1.93	ND	ND	29.34	ND	ND	ND	ND	0.32	0.51	ND	0.14	0.65	ND	ND	0.26	ND	ND	0.64	0.71	ND	0.38	0.88	2.99	3.40	1.51	0.97	ND	6.75	ND	22.52	19.20	1.68	0.57	ND	54.91	0.44	0.55	7.63	1.56	ND	1.27	ND	ND	ND	0.13	ND	0.17	1.38	0.78	0.88	0.16	ND	ND	ND	2.98	ND	0.19	ND	ND	1.35	2.53	0.27	5.27	19.05	12.52	35.99	50.77	0.94	43.47	ND	0.41	ND	ND	ND	ND	ND	0.13	0.96	0.21	ND	0.77	1.44	0.19	0.88	ND	1.77	0.23	ND	24.12	1.59	1.20	35.27	0.76
JWL0167		0.61	3.22	0.34	0.57	7.77	13.75	ND	1.74	ND	2.29	12.66	ND	2.49	55.28	2.35	7.86	ND	ND	ND	ND	1.00	ND	0.49	0.83	3.29	0.69	1.46	0.69	ND	8.72	2.73	ND	2.23	0.35	3.86	1.41	3.39	1.02	1.43	0.45	11.44	2.07	6.40	ND	ND	27.50	1.29	0.84	ND	ND	ND	3.17	ND	ND	0.38	ND	ND	0.37	ND	ND	1.48	1.01	ND	0.27	1.92	2.12	6.12	ND	3.81	ND	9.49	0.71	26.14	21.16	3.09	0.80	ND	41.26	0.71	0.35	6.80	1.60	ND	1.16	ND	ND	ND	0.29	0.16	0.81	0.74	2.74	1.38	ND	ND	ND	ND	5.76	ND	0.44	ND	ND	ND	3.82	0.76	13.90	38.19	20.11	24.50	73.27	2.36	21.66	ND	0.45	ND	ND	ND	ND	0.53	ND	1.80	1.07	ND	ND	ND	ND	0.89	ND	4.14	0.36	ND	30.89	5.15	1.21	26.81	1.02
JWL0168		ND	ND	ND	ND	ND	ND	ND	ND	0.12	1.15	2.50	0.25	2.21	10.79	0.48	ND	0.30	ND	ND	ND	0.26	0.14	0.29	0.44	0.92	ND	ND	ND	ND	1.42	ND	0.99	1.12	ND	1.45	1.74	1.42	1.88	ND	ND	2.92	1.50	7.14	ND	ND	9.56	ND	ND	0.26	ND	ND	ND	ND	ND	ND	ND	ND	0.30	0.47	ND	0.21	1.38	ND	0.60	0.87	2.84	5.81	ND	ND	0.20	5.45	ND	7.09	15.19	0.12	4.13	1.29	23.94	ND	ND	4.79	4.17	ND	5.37	ND	0.73	ND	0.35	ND	ND	ND	ND	ND	0.29	1.24	ND	ND	0.75	ND	0.21	0.59	ND	ND	1.76	0.30	3.00	6.81	7.69	33.02	10.80	ND	28.97	ND	1.98	ND	ND	ND	ND	ND	0.33	0.80	0.15	ND	0.60	ND	ND	ND	ND	ND	ND	ND	23.12	0.34	0.28	25.02	ND
JWL0169		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0170		ND	0.26	0.36	ND	ND	ND	ND	ND	0.56	1.77	2.89	ND	1.88	9.47	ND	ND	ND	ND	ND	ND	0.11	ND	ND	0.18	ND	ND	ND	ND	ND	0.64	ND	1.11	0.55	ND	0.59	0.97	0.52	ND	ND	ND	0.63	0.94	0.79	ND	ND	4.22	ND	ND	ND	ND	ND	ND	ND	0.20	0.39	ND	ND	0.29	ND	ND	ND	ND	ND	ND	0.13	ND	ND	ND	2.41	ND	0.27	ND	0.48	1.44	ND	1.02	ND	1.84	ND	ND	0.95	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.18	ND	ND	ND	ND	ND	0.30	ND	14.12	36.51	30.96	0.75	32.68	ND	1.32	ND	ND	ND	ND	ND	ND	0.67	0.19	ND	1.10	ND	ND	ND	0.27	ND	ND	5.27	12.88	ND	33.22	11.92	10.48	56.88	ND
JWL0171		ND	ND	ND	ND	ND	ND	ND	ND	ND	0.26	0.55	ND	0.38	1.66	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.14	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.19	ND	ND	ND	ND	0.67	ND	ND	0.67	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.04	0.69	0.20	ND	ND	ND	ND	ND	0.36	ND	ND	ND	0.67	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.23	1.89	ND	1.26	1.98	1.50	0.45	1.66	ND	0.33	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.29	ND	ND	4.38	ND	0.33	2.74	ND
