	Phosphatidylcholine  Profile;  PC																																																																																																																																																																																					
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																																																																																																																																																																					
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																																																																																																																																																					
	ND = not detected																																																																																																																																																																																					
																																																																																																																																																																																						
																																																																																																																																																																																						
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																																																																																																																																																																				
Sample ID		PC 30:0_16.17	PC 30:1_13.58 | 14:0/16:1	PC 30:2_11.96 | 14:0/16:2	PC 31:1_14.66 | 15:0_16:1	PC 31:1_15.08 | 15:0_16:1	PC 31:1_15.08 | 14:0_17:1	PC 31:1_15.08 | 13:0_18:1	PC 32:1_16.89 | 16:0/16:1	PC 32:1_16.89 | 14:0/18:1	PC 32:2_14.09 | 16:1/16:1	PC 32:2_14.44 | 14:0/18:2	PC 32:2_14.44 | 16:0/16:2	PC 32:2_14.44 | 16:1/16:1	PC 32:2_15.06 | 16:1/16:1	PC 32:2_15.06 | 14:0_18:2	PC 32:3_12.66 | 14:0_18:3	PC 32:4_11.66 | 14:0/18:4	PC 32:4_11.66 | 12:0_20:4	PC 32:5_10.67 | 12:0/20:5	PC 33:1_18.44 | 15:0_18:1	PC 33:1_19.05 | 15:0_18:1	PC 33:1_19.05 | 16:0/17:1	PC 33:2_15.66 | 16:1_17:1	PC 33:2_15.66 | 15:0_18:2	PC 33:2_15.66 | 15:1_18:1	PC 33:2_16.03 | 15:0_18:2	PC 33:2_16.03 | 16:1_17:1	PC 33:3_13.57 | 15:0_18:3	PC 33:3_13.97 | 15:0_18:3	PC 33:4_12.44 | 15:0/18:4	PC 33:4_12.77 | 15:0_18:4	PC 33:4_12.77 | 13:0_20:4	PC 33:5_11.25 | 13:0/20:5	PC 33:5_11.52 | 13:0/20:5	PC 34:1_21.08 | 16:0/18:1	PC 34:2_17.62 | 16:1_18:1	PC 34:2_18.05 | 16:0/18:2	PC 34:2_18.05 | 16:1_18:1	PC 34:3_14.91 | 16:1/18:2	PC 34:3_14.91 | 16:2_18:1	PC 34:3_15.55 | 16:0/18:3	PC 34:3_15.55 | 14:0_20:3	PC 34:4_13.08 | 16:1_18:3	PC 34:4_13.48 | 14:0/20:4	PC 34:4_14.16 | 16:0/18:4	PC 34:4_14.16 | 14:0/20:4	PC 34:5_12.57 | 14:0/20:5	PC 34:6_10.86 | 14:1_20:5	PC 34:6_11.42 | 12:0/22:6	PC 35:2_19.75 | 17:1_18:1	PC 35:2_20.08 | 17:1_18:1	PC 35:3_16.67 | 17:1_18:2	PC 35:4_14.46 | 17:1_18:3	PC 35:4_14.46 | 15:0_20:4	PC 35:4_14.96 | 15:0_20:4	PC 35:4_15.30 | 15:0_20:4	PC 35:4_15.30 | 17:0_18:4	PC 35:4_15.82 | 15:0_20:4	PC 35:5_13.42 | 15:0/20:5	PC 35:5_13.85 | 15:0/20:5	PC 35:6_12.39 | 13:0/22:6	PC 35:6_12.39 | 15:1_20:5	PC 36:1_24.78 | 16:0_20:1	PC 36:1_25.05 | 18:0_18:1	PC 36:1_25.05 | 16:0_20:1	PC 36:2_21.76 | 18:1/18:1	PC 36:3_18.76 | 18:1/18:2	PC 36:3_19.41 | 16:0/20:3	PC 36:3_19.41 | 18:1_18:2	PC 36:4_16.10 | 18:1/18:3	PC 36:4_16.76 | 16:0/20:4	PC 36:4_16.76 | 18:1_18:3	PC 36:4_16.76 | 14:0_22:4	PC 36:4_17.85 | 16:0/20:4	PC 36:5_14.58 | 18:1/18:4	PC 36:5_14.58 | 16:1/20:4	PC 36:5_14.58 | 14:0/22:5	PC 36:5_15.41 | 16:0/20:5	PC 36:6_13.00 | 16:1/20:5	PC 36:6_13.66 | 14:0/22:6	PC 36:7_11.51 | 16:2/20:5	PC 36:7_11.51 | 18:3/18:4	PC 36:7_11.86 | 14:1_22:6	PC 36:7_12.41 | 16:2_20:5	PC 37:2_23.76 | 18:1_19:1	PC 37:2_23.76 | 17:1_20:1	PC 37:2_25.85	PC 37:4_20.00 | 17:0_20:4	PC 37:5_16.26 | 15:0_22:5	PC 37:5_16.26 | 17:1_20:4	PC 37:5_16.67 | 17:0/20:5	PC 37:5_16.67 | 17:1_20:4	PC 37:5_17.39 | 17:0/20:5	PC 37:6_14.33 | 17:1/20:5	PC 37:6_14.75 | 15:0/22:6	PC 37:6_14.75 | 17:1_20:5	PC 37:6_15.21 | 15:0/22:6	PC 38:1_25.55 | 18:1_20:0	PC 38:2_25.37 | 18:1_20:1	PC 38:3_22.58 | 18:1_20:2	PC 38:3_22.58 | 18:2_20:1	PC 38:4_19.83 | 18:1_20:3	PC 38:4_20.12 | 18:1_20:3	PC 38:4_20.12 | 18:3_20:1	PC 38:4_20.94 | 16:0_22:4	PC 38:4_22.16 | 18:0_20:4	PC 38:5_17.44 | 18:1/20:4	PC 38:5_18.26 | 16:0/22:5	PC 38:5_18.26 | 18:1/20:4	PC 38:5_18.55 | 18:1/20:4	PC 38:5_18.55 | 16:0/22:5	PC 38:5_19.62 | 18:0/20:5	PC 38:5_19.62 | 16:0/22:5	PC 38:6_15.98 | 18:1/20:5	PC 38:6_17.05 | 16:0/22:6	PC 38:7_13.66 | 18:2/20:5	PC 38:7_14.18 | 16:1/22:6	PC 38:7_15.03 | 16:1/22:6	PC 38:8_12.13 | 18:3/20:5	PC 38:8_12.41 | 16:2/22:6	PC 38:8_12.41 | 18:3_20:5	PC 38:8_12.41 | 18:4_20:4	PC 38:8_13.46 | 16:2_22:6	PC 38:9_11.18 | 18:4_20:5	PC 39:2_27.14	PC 39:6_17.94 | 19:1/20:5	PC 39:6_18.67 | 17:0/22:6	PC 39:6_19.23 | 17:0/22:6	PC 39:7_15.75 | 17:1/22:6	PC 39:7_16.12 | 17:1/22:6	PC 39:7_16.89 | 17:1_22:6	PC 40:2_26.96 | 18:1_22:1	PC 40:2_26.96 | 20:1/20:1	PC 40:5_21.51 | 18:1_22:4	PC 40:5_22.48 | 20:1_20:4	PC 40:5_22.48 | 18:0_22:5	PC 40:6_18.94 | 18:1/22:5	PC 40:6_19.28 | 20:2_20:4	PC 40:6_19.28 | 18:1_22:5	PC 40:6_19.92 | 20:1/20:5	PC 40:6_19.92 | 16:0_24:6	PC 40:6_20.33 | 18:1/22:5	PC 40:6_20.33 | 20:1_20:5	PC 40:6_20.33 | 18:0/22:6	PC 40:6_21.35 | 18:0/22:6	PC 40:7_17.71 | 18:1/22:6	PC 40:8_14.47 | 20:3/20:5	PC 40:8_14.47 | 20:4/20:4	PC 40:8_14.98 | 18:2/22:6	PC 40:8_14.98 | 20:4/20:4	PC 40:9_12.76 | 20:4_20:5	PC 40:9_13.25 | 20:4_20:5	PC 40:9_13.25 | 18:3/22:6	PC 40:10_11.91 | 20:5/20:5	PC 41:6_23.42 | 19:0_22:6	PC 41:7_19.01 | 18:1_23:6	PC 41:7_19.69 | 19:1/22:6	PC 42:6_22.10 | 20:0/22:6	PC 42:6_22.10 | 18:1_24:5	PC 42:6_22.85 | 20:1_22:5	PC 42:6_23.92 | 22:1/20:5	PC 42:6_23.92 | 20:1_22:5	PC 42:7_20.42 | 18:1_24:6	PC 42:7_21.69 | 20:1/22:6	PC 42:8_18.55 | 20:2/22:6	PC 42:9_15.15 | 20:3_22:6	PC 42:9_15.59 | 20:5_22:4	PC 42:9_15.59 | 20:4_22:5	PC 42:9_15.89 | 20:3/22:6	PC 42:10_13.60 | 20:5_22:5	PC 42:10_13.96 | 20:4_22:6	PC 42:10_14.59 | 20:4/22:6	PC 42:10_14.59 | 20:5_22:5	PC 42:11_12.89 | 20:5/22:6	PC 44:6_26.37 | 20:5_24:1	PC 44:7_25.28 | 22:1/22:6	PC 44:10_17.28 | 22:4_22:6	PC 44:11_14.69 | 20:5_24:6	PC 44:11_14.96 | 22:5_22:6	PC 44:11_16.10 | 22:5_22:6	PC 44:12_14.05 | 22:6/22:6
JWL0157		0.59	17.92	1.60	1.94	2.59	0.89	0.30	32.27	14.43	16.66	7.93	7.92	3.76	1.77	0.22	5.30	20.56	ND	4.12	2.35	4.19	0.76	3.55	0.41	ND	1.39	0.83	0.65	1.04	1.95	3.51	ND	ND	2.25	69.72	52.66	40.45	ND	23.89	14.68	16.97	ND	14.63	4.01	59.60	11.68	144.83	ND	4.72	7.91	1.55	3.50	1.60	0.48	0.70	0.75	1.59	1.18	24.05	21.19	2.01	2.18	0.43	2.03	0.62	104.77	30.85	2.10	1.76	3.63	21.17	ND	ND	ND	40.37	6.27	ND	314.03	125.35	99.53	29.88	10.75	ND	6.71	1.48	0.28	11.89	ND	ND	ND	54.70	ND	5.54	18.18	12.11	8.39	26.19	3.63	8.63	2.05	0.63	3.45	1.59	1.24	0.73	2.14	6.11	16.04	19.77	ND	ND	27.76	7.86	302.47	283.35	75.97	83.64	9.88	68.83	11.13	4.27	2.27	5.30	73.47	ND	2.26	6.25	8.48	10.74	3.35	2.19	0.62	0.14	ND	ND	ND	4.76	ND	ND	11.90	1.39	3.56	13.12	6.37	20.26	211.34	6.53	ND	45.70	ND	7.07	18.80	42.13	181.72	0.35	ND	3.12	17.31	ND	ND	3.15	ND	1.00	15.52	4.09	0.38	ND	ND	ND	3.38	1.54	ND	ND	124.39	2.75	7.54	ND	0.77	0.88	ND	8.70
JWL0159		ND	57.49	12.08	7.40	12.76	3.92	ND	148.86	67.05	59.72	32.04	70.70	10.84	11.24	1.33	23.50	140.37	2.73	72.05	ND	9.32	9.82	17.13	ND	ND	4.36	2.83	1.90	3.21	10.69	14.64	ND	3.26	4.92	336.47	253.33	107.10	ND	84.69	102.91	92.71	ND	66.99	11.00	285.88	ND	500.22	15.99	14.45	22.18	6.58	11.26	5.26	1.81	2.23	2.21	6.50	3.27	82.37	108.25	5.22	11.17	3.68	10.61	3.79	387.22	118.67	12.95	7.29	126.80	85.78	ND	ND	134.85	228.42	38.90	ND	1149.28	535.88	186.94	220.47	67.79	ND	34.57	10.20	1.86	ND	ND	0.84	2.16	245.85	ND	19.95	73.49	26.13	26.17	46.28	17.86	39.42	ND	ND	13.34	7.82	5.79	1.95	10.73	19.90	64.32	49.14	8.14	ND	133.75	23.84	982.40	658.49	240.67	202.59	17.29	250.27	56.87	27.23	16.18	13.87	450.18	ND	5.21	15.83	24.84	26.75	7.93	5.57	4.13	0.79	ND	ND	ND	19.52	1.42	1.15	75.26	ND	13.39	63.62	24.88	66.17	496.47	24.26	ND	120.82	ND	40.29	93.86	102.67	617.09	1.41	ND	8.51	52.52	ND	ND	29.48	ND	5.99	35.70	5.07	ND	ND	ND	5.52	9.99	3.89	7.80	3.81	289.80	14.78	21.94	ND	2.38	2.75	ND	17.54
JWL0166		3.08	17.00	0.88	0.44	1.08	0.68	ND	9.22	11.78	4.50	12.63	ND	1.43	0.35	0.23	12.93	20.42	ND	1.10	ND	0.93	0.24	0.48	0.18	0.05	0.88	0.24	0.24	0.78	0.44	1.38	ND	0.11	1.33	13.99	5.62	6.17	ND	4.25	ND	12.70	ND	4.18	5.87	15.53	6.45	132.35	5.35	1.47	0.40	0.26	1.22	ND	ND	0.51	0.19	0.28	0.67	12.83	12.90	2.99	0.95	0.36	0.16	0.03	7.82	4.17	1.67	0.18	3.57	7.78	ND	ND	8.75	ND	ND	ND	172.78	41.25	171.08	1.10	0.86	4.19	ND	ND	ND	ND	ND	0.46	ND	15.19	ND	2.76	1.74	6.59	2.68	27.85	ND	0.30	0.16	0.09	ND	0.36	0.10	0.78	0.46	ND	5.27	0.76	1.43	0.53	10.84	6.47	50.01	241.00	6.88	68.16	6.00	12.06	2.21	0.87	0.39	ND	9.18	ND	ND	8.10	8.73	5.85	4.22	1.12	ND	ND	ND	ND	ND	0.83	ND	ND	4.17	1.56	0.39	ND	1.62	13.81	67.78	2.34	0.24	25.04	ND	2.44	2.11	16.54	37.37	0.19	ND	1.03	0.64	ND	ND	1.96	ND	ND	5.16	4.57	0.66	ND	ND	3.16	0.46	1.60	1.37	0.43	54.80	0.57	3.45	ND	0.17	0.69	0.50	16.79
JWL0167		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.53	0.29	4.14	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.56	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.12	ND	0.31	6.31	ND	10.19	ND	ND	ND	ND	ND	ND	0.62	ND	ND	ND	ND	ND	ND	ND	ND	ND	5.24	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.44	0.69	3.00	15.35	ND	1.70	0.36	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.00	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.41	1.13	ND	ND	0.85	ND	ND	ND	ND	0.38	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.51	ND	ND	ND	ND	1.47	ND	ND	ND	ND	ND	ND	0.57
JWL0168		ND	1.40	ND	0.17	0.06	0.04	ND	0.92	0.50	1.52	0.33	ND	0.12	ND	ND	0.47	0.43	ND	0.13	ND	ND	ND	0.18	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.71	3.31	0.24	0.04	0.58	ND	0.66	0.20	0.62	2.15	0.53	4.04	30.55	0.91	0.40	ND	ND	ND	ND	0.17	0.24	0.35	ND	0.66	4.49	4.32	1.83	0.19	ND	ND	ND	1.83	ND	ND	ND	1.17	2.37	ND	0.68	6.13	0.47	2.93	2.53	46.30	10.38	55.53	ND	ND	1.23	0.78	ND	ND	ND	0.31	ND	ND	2.91	0.74	ND	1.20	5.85	2.36	9.32	ND	0.24	ND	ND	ND	0.51	0.06	1.39	0.21	3.13	5.00	8.90	ND	ND	1.84	5.79	53.58	86.76	ND	37.60	9.34	1.71	0.19	0.05	ND	0.46	0.19	ND	ND	2.49	2.42	3.86	3.70	ND	ND	ND	2.92	0.64	0.17	6.41	0.17	0.12	4.65	ND	8.31	0.87	ND	4.29	110.29	3.06	ND	4.01	0.57	0.83	3.86	2.88	8.80	ND	ND	1.81	0.39	0.06	0.16	0.71	ND	0.48	11.70	3.56	0.17	0.43	0.13	ND	ND	0.69	2.46	0.98	29.14	0.10	1.96	0.34	ND	1.26	0.87	15.32
JWL0169		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0170		ND	3.30	ND	0.56	0.38	0.22	0.09	3.51	4.48	3.67	1.91	ND	0.47	ND	ND	1.25	0.62	ND	ND	0.88	1.56	ND	0.89	0.31	ND	0.29	0.26	0.14	0.15	ND	0.07	0.02	ND	0.24	8.34	13.73	2.38	0.33	4.38	ND	3.26	0.38	1.68	1.63	1.53	1.87	19.72	0.15	0.12	2.68	0.46	0.76	0.24	0.18	0.33	0.42	ND	0.45	3.64	4.32	1.49	ND	0.40	0.29	0.06	22.78	14.07	ND	ND	7.08	4.42	0.53	ND	4.15	1.71	0.23	0.86	56.52	16.49	49.93	ND	ND	ND	ND	0.28	0.06	1.69	ND	ND	ND	3.16	1.20	0.82	2.66	9.23	1.87	12.58	0.07	1.66	ND	ND	ND	2.58	ND	0.19	0.16	5.14	3.75	4.88	6.55	ND	1.31	1.59	109.35	134.15	4.71	47.67	3.10	1.79	0.50	0.15	ND	0.23	0.25	0.28	ND	ND	ND	10.61	3.56	1.25	0.06	0.05	0.53	0.28	0.04	6.66	ND	ND	3.92	0.45	3.04	0.39	0.63	4.40	238.56	0.87	0.13	13.37	ND	0.59	2.37	3.75	11.19	ND	0.52	3.12	0.51	0.50	ND	0.23	0.07	1.30	16.00	2.77	0.33	ND	ND	ND	0.29	0.48	2.60	ND	36.51	ND	1.19	ND	ND	0.60	0.48	28.99
JWL0171		ND	0.96	ND	0.55	0.33	0.08	0.08	3.03	2.21	2.88	0.31	ND	0.54	ND	ND	0.18	ND	ND	ND	1.07	0.42	0.17	0.33	0.12	0.06	0.09	0.12	ND	ND	ND	ND	ND	ND	0.10	4.78	11.55	0.93	0.88	1.44	0.18	0.48	0.05	0.51	0.15	0.12	0.35	2.03	ND	0.14	1.09	ND	0.13	ND	ND	ND	ND	ND	ND	0.70	0.49	0.20	0.03	0.61	ND	ND	8.29	2.27	0.07	0.02	1.25	0.76	ND	ND	1.03	0.13	0.53	0.14	4.68	2.05	1.63	ND	ND	ND	ND	0.07	0.05	ND	ND	0.11	ND	0.34	ND	ND	0.30	0.80	0.17	0.93	ND	1.32	0.15	ND	ND	0.25	0.04	0.08	ND	0.88	0.89	0.53	1.14	ND	0.17	0.73	11.63	9.36	0.40	4.35	ND	0.10	ND	ND	ND	ND	ND	ND	ND	0.08	ND	ND	ND	ND	ND	ND	0.21	0.09	ND	1.40	ND	ND	0.71	ND	0.67	ND	ND	0.10	12.46	0.14	ND	0.58	ND	ND	ND	ND	0.25	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.84	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.45	ND	ND	ND	ND	ND	ND	ND
