	Phosphatidylcholine  Profile;  PC																																																																																																																																																																																					
JWL0172		0.10	2.54	0.39	0.55	0.50	0.20	0.07	9.70	2.91	3.68	1.00	1.97	0.40	ND	ND	0.77	3.64	0.03	1.04	0.32	ND	ND	0.56	0.31	0.08	0.41	0.18	0.27	0.29	0.41	0.45	0.14	0.14	0.96	5.45	13.86	4.68	0.82	3.83	2.54	4.40	ND	2.63	0.82	16.41	3.18	34.60	0.28	0.57	0.99	ND	0.65	0.22	0.36	0.42	0.48	0.26	0.66	7.12	8.83	1.31	0.81	ND	0.11	0.03	5.36	7.56	ND	ND	8.52	5.15	0.52	ND	6.83	7.47	1.59	0.98	118.00	27.34	22.69	9.29	1.16	ND	1.26	ND	ND	0.47	ND	0.50	ND	12.44	ND	1.44	2.92	6.72	2.04	10.92	0.14	0.44	0.07	ND	0.80	0.46	0.17	0.11	0.10	6.49	5.66	8.84	ND	ND	3.43	1.79	97.82	82.37	11.60	16.61	2.60	10.18	1.80	0.90	0.50	0.59	11.34	0.18	0.56	3.06	1.38	3.82	2.14	ND	ND	ND	0.54	0.16	0.07	3.32	ND	ND	4.70	0.72	2.61	1.28	0.49	1.49	96.32	1.78	0.18	7.53	ND	1.35	3.97	4.76	39.00	ND	0.07	0.55	1.00	0.25	0.07	0.22	0.06	0.90	4.31	1.12	0.48	0.08	0.04	1.44	0.58	0.82	1.36	0.38	32.74	0.22	0.27	0.14	0.07	0.75	0.69	17.09
JWL0173		0.05	0.34	ND	0.28	0.08	0.03	ND	1.62	0.42	0.60	0.38	0.11	0.14	ND	ND	0.38	0.62	0.15	1.22	0.37	ND	ND	0.07	0.18	ND	0.08	ND	0.15	0.06	0.28	0.14	0.07	0.31	0.71	1.96	3.45	1.95	0.21	0.75	0.09	1.95	ND	0.38	0.73	2.87	1.51	10.09	0.12	1.47	ND	ND	0.05	0.03	0.26	0.13	0.45	0.08	0.27	5.56	2.82	1.29	0.14	0.99	ND	ND	2.01	1.09	ND	ND	1.32	3.75	ND	ND	6.00	1.51	0.62	0.93	61.70	5.20	14.42	0.42	ND	ND	ND	ND	ND	0.07	ND	ND	ND	5.25	ND	0.39	0.65	6.30	0.91	3.75	ND	1.37	0.02	0.04	ND	0.68	0.14	0.55	0.09	1.66	5.06	2.02	2.45	0.30	1.09	2.57	44.46	63.85	3.91	9.20	1.03	1.75	0.23	0.13	0.05	ND	0.89	ND	0.25	2.59	0.66	ND	ND	ND	ND	0.10	0.40	0.26	0.14	3.18	ND	ND	6.58	0.70	1.47	0.46	ND	2.06	49.95	0.84	0.10	3.45	ND	0.75	2.43	1.04	11.06	ND	ND	0.45	0.18	0.15	0.21	ND	ND	ND	5.66	0.89	0.40	0.11	0.02	ND	ND	0.45	0.46	0.29	16.36	ND	0.09	ND	0.21	0.21	0.26	4.51
JWL0174		ND	1.30	ND	0.21	0.19	0.04	0.05	0.20	0.03	1.39	0.13	ND	0.27	ND	ND	0.10	0.28	0.08	0.34	0.50	ND	ND	0.17	ND	0.03	ND	ND	ND	ND	ND	0.13	0.12	0.92	0.51	21.62	5.98	1.10	ND	0.46	ND	0.62	ND	0.30	0.33	1.19	2.76	16.55	ND	0.61	0.27	ND	ND	ND	ND	ND	0.25	ND	0.67	2.64	7.42	2.39	ND	0.35	ND	ND	22.22	1.97	ND	ND	0.79	1.59	ND	ND	7.94	1.64	1.82	0.44	71.46	6.23	16.84	0.05	0.06	0.26	0.17	ND	ND	ND	ND	ND	ND	2.23	0.36	0.75	1.15	2.66	0.77	9.95	ND	0.54	0.40	0.05	0.52	ND	0.06	0.58	0.42	2.49	ND	ND	ND	ND	2.24	2.98	31.90	78.18	1.00	19.08	ND	1.49	0.06	0.08	0.12	0.19	0.74	0.06	0.18	0.89	ND	2.04	ND	ND	0.08	0.04	0.65	1.07	ND	3.32	ND	ND	5.46	ND	3.60	1.03	0.85	3.35	97.25	0.80	0.11	2.81	0.65	0.16	4.07	1.48	8.15	ND	ND	1.13	0.05	0.25	0.14	1.23	0.16	ND	0.99	1.28	ND	ND	ND	0.45	ND	ND	2.00	0.26	16.40	ND	1.01	ND	0.10	0.29	0.06	8.49
JWL0175		ND	0.50	ND	0.09	0.14	0.08	0.02	2.93	2.15	0.77	0.09	0.05	0.11	ND	ND	0.05	0.10	ND	0.06	0.48	0.49	1.03	0.41	ND	ND	0.05	0.02	ND	ND	ND	0.05	0.04	0.09	0.19	27.56	11.21	2.47	1.14	0.63	0.44	0.95	ND	0.26	0.34	1.79	2.44	8.23	ND	0.16	4.28	0.88	0.31	0.11	0.05	0.11	0.24	ND	0.84	2.38	5.10	0.61	ND	0.46	0.11	0.13	51.10	7.88	0.58	0.38	2.23	2.97	ND	ND	16.72	3.19	1.17	0.46	94.50	4.63	12.41	0.10	ND	ND	ND	0.68	0.13	0.62	ND	0.11	0.03	2.73	0.85	1.87	2.29	2.68	0.89	7.15	0.16	4.31	1.31	0.35	1.45	1.44	0.34	0.34	0.47	4.88	5.13	2.53	19.30	ND	3.95	3.08	113.19	107.75	3.17	9.33	ND	1.45	0.08	0.09	0.10	0.10	0.59	ND	ND	ND	2.61	4.08	ND	0.43	0.27	0.26	0.51	1.60	ND	5.35	ND	ND	17.60	ND	3.55	1.77	0.78	4.06	122.85	1.03	0.13	5.18	2.84	0.22	4.35	1.35	11.59	ND	ND	3.02	0.76	2.97	0.22	1.60	0.20	ND	17.63	3.20	0.15	0.07	0.14	ND	0.41	0.23	1.97	ND	24.26	0.10	0.87	0.09	ND	0.72	0.21	15.95
JWL0176		0.04	0.65	ND	ND	0.09	0.14	0.03	0.69	2.37	0.47	1.46	ND	ND	0.02	0.21	0.54	0.33	0.04	0.29	0.19	ND	ND	ND	ND	ND	0.13	0.03	ND	0.07	ND	0.04	0.15	0.11	0.68	2.88	3.49	1.11	0.19	1.11	ND	0.80	0.76	ND	1.59	ND	6.49	23.51	0.15	0.51	1.17	ND	0.42	0.09	0.09	0.29	0.38	ND	1.55	3.24	5.40	2.04	0.31	ND	ND	ND	8.61	6.08	0.55	0.76	2.66	2.67	0.31	0.50	6.41	0.31	ND	2.05	56.58	9.21	41.25	0.12	ND	0.40	0.05	ND	ND	ND	ND	0.41	0.05	4.40	2.09	2.58	3.37	4.17	1.01	16.99	ND	0.26	0.24	0.04	0.49	1.21	ND	0.27	0.27	4.13	ND	ND	23.82	4.81	1.83	3.04	77.32	102.48	4.00	15.53	1.32	1.20	0.07	0.12	0.05	ND	0.22	ND	0.69	6.28	7.20	10.24	1.46	ND	ND	ND	1.23	1.01	ND	8.23	0.59	0.40	6.64	ND	4.86	ND	0.64	4.60	125.13	2.44	0.57	15.45	2.60	1.06	8.55	2.05	20.07	ND	0.46	4.85	0.59	0.13	0.18	0.59	0.11	1.02	14.31	7.14	0.40	0.17	0.16	4.23	ND	0.92	ND	ND	34.57	0.07	0.78	0.20	0.25	1.09	0.89	31.08
JWL0177		ND	0.10	ND	ND	ND	ND	ND	0.08	0.29	0.10	0.10	ND	0.02	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.43	ND	ND	0.07	ND	ND	ND	ND	0.15	ND	0.49	1.89	ND	ND	0.07	ND	ND	ND	ND	ND	ND	ND	ND	0.17	0.18	0.09	ND	ND	ND	ND	0.85	0.38	ND	ND	0.29	0.14	ND	ND	0.51	0.07	0.14	0.13	2.45	0.52	4.70	ND	ND	ND	ND	ND	ND	0.24	ND	ND	ND	0.17	ND	0.09	0.22	0.25	ND	0.39	ND	ND	ND	ND	0.10	ND	ND	ND	ND	0.28	ND	ND	1.66	0.22	0.16	0.10	8.06	5.66	0.33	1.11	ND	ND	ND	ND	ND	ND	ND	0.07	ND	ND	0.26	0.33	0.06	ND	ND	ND	ND	ND	ND	0.45	0.04	ND	0.37	ND	0.31	0.37	ND	0.33	14.15	0.23	0.07	0.48	0.15	ND	0.52	ND	0.93	ND	ND	0.29	ND	ND	ND	ND	ND	0.08	0.81	0.68	0.08	ND	ND	0.56	ND	0.13	0.35	ND	2.38	ND	ND	ND	ND	0.09	ND	1.39
JWL0178		ND	0.27	ND	ND	ND	ND	ND	0.24	0.49	0.41	0.37	ND	0.12	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	2.17	0.24	0.07	ND	ND	ND	ND	ND	0.70	ND	1.26	4.97	ND	0.15	ND	ND	ND	ND	ND	ND	ND	ND	0.15	0.81	1.25	0.64	ND	ND	ND	ND	2.73	ND	ND	ND	1.31	0.40	0.05	ND	1.28	0.39	0.64	0.43	11.83	3.03	13.65	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.97	ND	0.43	1.58	1.66	0.26	4.29	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.31	ND	ND	3.42	0.81	0.32	0.55	28.90	32.33	1.36	9.86	0.51	0.25	ND	ND	ND	ND	ND	ND	ND	ND	1.40	3.22	0.59	ND	ND	ND	ND	ND	ND	1.35	ND	ND	1.22	ND	1.28	0.17	0.21	1.12	49.25	0.76	0.12	3.29	ND	0.16	1.29	0.40	3.61	ND	ND	1.47	ND	ND	ND	0.16	ND	0.22	4.36	1.26	0.21	ND	ND	1.72	ND	0.44	1.63	ND	9.49	ND	0.40	ND	ND	ND	ND	8.52
JWL0179		0.08	0.66	ND	ND	0.11	0.20	0.03	0.72	3.98	0.30	1.42	ND	ND	ND	0.22	0.42	0.14	ND	0.12	ND	0.79	ND	0.27	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.31	4.72	3.57	1.62	0.23	0.86	ND	0.82	0.48	ND	1.00	ND	7.56	17.17	ND	0.30	1.66	ND	0.36	ND	ND	0.24	0.28	ND	1.73	1.12	7.84	1.03	0.04	0.09	ND	ND	10.14	6.20	ND	ND	1.32	1.79	ND	0.19	9.14	ND	ND	ND	49.65	3.84	48.57	ND	ND	0.21	ND	ND	ND	1.71	1.51	0.20	0.03	2.24	1.48	2.08	2.55	2.40	0.28	16.61	ND	0.81	0.56	0.13	0.63	1.32	ND	0.21	0.33	3.15	ND	ND	26.35	2.99	1.79	2.47	87.60	83.83	4.19	17.70	1.27	0.89	ND	ND	ND	ND	0.11	ND	0.49	2.54	5.84	7.58	ND	ND	ND	ND	0.60	1.47	ND	4.62	ND	ND	6.40	0.90	6.57	ND	ND	3.02	142.28	1.77	0.34	14.56	ND	0.58	5.95	1.24	12.98	ND	0.36	3.02	0.15	0.30	0.08	1.24	0.21	1.61	10.90	6.18	ND	ND	ND	3.98	ND	0.74	ND	ND	28.85	0.60	2.45	ND	0.23	0.52	0.45	21.90
JWL0180		ND	0.69	ND	ND	ND	0.18	ND	0.48	4.58	0.29	1.13	ND	ND	ND	ND	0.48	0.17	ND	0.10	0.12	ND	ND	0.18	ND	ND	ND	ND	ND	ND	ND	ND	0.11	ND	0.41	3.47	3.29	0.97	0.11	ND	ND	ND	ND	ND	1.00	ND	8.32	16.19	ND	0.24	ND	ND	0.22	ND	ND	ND	0.18	ND	1.02	1.24	3.00	1.23	ND	ND	0.10	ND	9.64	ND	ND	ND	1.48	1.38	0.19	0.14	6.55	ND	ND	ND	34.68	3.44	32.40	ND	ND	ND	ND	ND	ND	4.93	0.83	ND	ND	1.93	0.37	1.56	1.66	0.95	0.20	7.76	ND	0.76	0.49	0.07	0.49	1.21	ND	ND	0.61	2.99	ND	ND	30.01	ND	2.93	1.70	80.03	65.68	3.16	7.63	0.32	0.75	ND	ND	0.19	ND	0.47	1.55	ND	ND	5.05	4.68	ND	ND	ND	ND	ND	1.20	0.13	3.65	ND	ND	7.45	ND	5.51	0.56	ND	4.78	114.83	1.88	0.60	7.90	0.83	0.75	8.41	0.80	12.12	ND	0.43	2.60	0.40	ND	ND	1.84	ND	0.98	9.20	8.70	ND	ND	ND	3.95	ND	0.80	4.74	ND	27.65	0.68	3.74	ND	0.19	0.54	0.50	23.97
JWL0181		0.02	0.19	ND	ND	0.02	0.04	ND	0.25	1.01	0.10	0.36	ND	ND	ND	0.05	0.11	ND	ND	0.04	ND	ND	ND	0.05	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.07	0.97	1.27	0.46	0.05	ND	ND	ND	ND	ND	0.29	ND	2.11	5.70	ND	0.08	ND	ND	0.08	ND	ND	0.04	0.07	ND	0.55	0.52	1.75	0.25	ND	ND	ND	ND	2.93	1.63	ND	ND	0.42	0.53	ND	0.07	2.66	ND	ND	ND	17.03	2.07	10.79	ND	ND	ND	ND	ND	ND	0.57	0.35	0.03	ND	0.68	0.48	0.70	0.74	0.52	0.13	4.06	ND	0.09	0.06	0.01	ND	0.39	ND	0.07	0.08	1.10	ND	ND	9.49	ND	0.52	0.62	32.28	33.88	1.38	4.75	0.34	0.21	ND	ND	ND	ND	0.04	ND	0.25	1.24	1.54	2.51	ND	0.17	ND	ND	ND	0.36	ND	1.43	0.16	0.06	1.65	0.20	1.54	ND	ND	1.11	52.11	0.57	0.14	3.40	0.53	0.15	1.88	0.22	4.38	ND	0.09	0.85	0.05	0.03	0.02	0.31	ND	0.27	3.47	2.25	ND	ND	ND	0.72	0.16	ND	1.52	ND	11.67	0.13	0.60	ND	0.08	0.24	0.19	8.17
JWL0185		0.08	0.36	ND	ND	0.05	0.07	0.01	0.50	1.99	0.24	0.60	ND	ND	ND	0.09	0.24	0.20	ND	0.08	ND	0.32	0.05	ND	ND	ND	0.08	ND	ND	ND	ND	0.04	0.06	ND	0.33	3.21	1.31	0.71	0.12	ND	ND	ND	ND	ND	0.57	ND	4.12	20.95	0.10	0.22	ND	ND	0.13	ND	ND	0.10	0.14	ND	0.89	1.11	4.64	0.91	ND	ND	ND	ND	7.97	ND	ND	ND	0.85	1.06	0.11	ND	5.04	ND	ND	ND	30.87	2.89	54.60	ND	ND	ND	ND	ND	ND	1.46	0.44	0.09	0.02	2.28	1.02	1.75	1.95	1.20	0.65	12.57	ND	0.22	0.10	0.02	ND	0.31	ND	ND	0.20	1.55	ND	ND	17.03	ND	1.57	1.58	59.05	81.23	3.25	11.20	1.15	0.61	ND	0.08	0.06	ND	0.19	0.88	ND	ND	3.40	7.30	0.31	0.39	ND	ND	ND	0.80	ND	2.05	0.30	0.11	4.64	0.55	3.40	0.54	0.67	4.74	105.98	1.02	0.23	9.30	1.39	0.45	5.40	1.10	14.15	0.07	0.11	2.84	0.18	0.05	ND	0.67	0.13	0.61	12.02	6.10	ND	ND	ND	3.13	ND	0.57	4.95	ND	34.27	0.27	1.65	ND	0.47	0.59	0.63	28.85
JWL0188		0.06	0.45	ND	ND	0.05	0.06	ND	0.36	1.98	0.16	0.91	ND	ND	ND	0.14	0.34	0.73	ND	0.15	ND	0.12	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.21	ND	0.53	1.49	1.64	0.87	0.09	ND	ND	ND	ND	ND	1.94	0.79	7.74	34.33	ND	0.42	ND	ND	0.15	ND	ND	0.17	0.25	ND	1.18	3.21	7.14	2.94	ND	ND	ND	ND	5.02	2.42	0.18	0.29	0.73	2.95	ND	ND	5.46	ND	ND	ND	60.39	10.38	84.25	ND	ND	0.27	ND	ND	ND	2.29	ND	ND	ND	4.10	1.28	1.92	2.41	4.93	0.65	21.64	ND	0.21	ND	ND	ND	0.43	ND	ND	ND	2.94	3.76	17.09	ND	ND	0.91	1.64	81.48	139.40	5.78	31.21	3.05	0.67	0.11	0.10	0.10	ND	0.28	ND	ND	5.57	7.62	16.17	ND	ND	ND	ND	ND	0.68	ND	2.45	0.33	0.11	3.66	ND	2.78	0.32	0.38	3.82	224.71	1.74	0.37	18.93	ND	0.61	5.29	2.29	14.64	0.10	0.18	4.22	0.36	ND	ND	0.60	0.15	ND	13.30	10.08	0.66	ND	ND	6.45	ND	0.84	5.48	0.61	57.56	0.13	1.19	0.12	0.66	1.20	1.06	33.13
JWL0189		ND	0.66	ND	ND	0.26	0.16	0.04	1.12	2.80	0.11	0.39	ND	0.05	ND	ND	0.16	0.16	ND	ND	ND	1.10	0.30	ND	ND	ND	0.20	0.06	ND	0.06	ND	0.10	ND	ND	ND	3.02	0.31	0.46	0.05	0.14	0.03	0.17	0.02	ND	ND	0.36	0.29	1.54	ND	ND	0.10	0.10	0.14	ND	ND	ND	ND	ND	0.13	0.13	1.22	0.19	ND	ND	0.07	ND	15.64	0.38	ND	ND	0.07	0.21	ND	0.03	0.56	ND	ND	ND	4.61	0.22	2.74	ND	ND	ND	ND	ND	ND	ND	ND	0.06	ND	0.11	0.12	0.13	ND	0.09	0.13	2.92	0.10	ND	ND	ND	ND	ND	ND	0.07	ND	ND	0.20	0.03	ND	ND	0.36	0.68	ND	11.51	0.13	1.05	0.33	ND	ND	ND	ND	ND	ND	ND	ND	0.10	0.60	0.13	0.42	0.22	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.06	ND	0.02	0.78	1.45	ND	ND	0.52	ND	ND	ND	0.10	0.07	ND	ND	ND	0.28	ND	ND	ND	ND	ND	ND	0.06	0.08	ND	ND	ND	ND	ND	ND	ND	0.32	ND	ND	ND	ND	ND	ND	0.25
JWL0190		ND	4.05	0.36	0.18	1.01	0.91	0.40	6.97	8.70	1.12	1.10	1.19	0.21	0.19	0.05	0.82	1.14	0.85	2.65	0.66	2.75	1.81	1.71	ND	0.17	0.81	0.26	ND	0.35	ND	0.59	0.70	ND	2.25	14.14	13.47	4.05	0.61	2.24	1.07	3.63	ND	0.99	1.63	3.79	9.50	39.44	ND	5.38	7.40	1.20	1.83	0.39	0.05	0.78	0.53	ND	5.48	3.67	22.47	6.55	ND	0.29	0.30	0.03	25.12	8.79	0.89	0.54	7.62	3.69	0.52	0.55	28.68	5.22	2.93	1.56	111.91	12.03	93.54	0.58	0.12	0.36	0.21	0.87	0.09	0.43	2.39	0.97	0.31	3.36	5.58	7.99	6.15	4.46	1.54	47.76	ND	1.15	0.71	0.15	ND	1.55	0.27	1.68	0.93	4.44	5.63	4.73	22.05	ND	4.70	16.09	113.70	181.47	7.41	21.98	4.22	3.70	1.08	0.34	0.40	0.37	1.77	0.17	3.96	ND	18.26	23.38	1.76	2.24	0.13	ND	2.40	0.84	ND	3.45	ND	ND	9.45	ND	13.91	ND	3.09	10.41	137.00	1.01	0.24	14.83	0.66	0.49	10.56	5.98	23.17	0.31	ND	10.57	0.37	0.05	ND	0.35	ND	ND	11.85	3.09	ND	0.39	0.12	2.17	0.60	0.47	5.92	2.18	46.56	ND	1.00	0.31	ND	0.62	2.23	17.09
JWL0191		ND	5.49	1.52	0.16	0.23	0.40	0.21	4.60	32.26	5.52	6.75	0.41	1.12	0.16	0.20	7.48	21.52	ND	20.61	1.04	ND	ND	0.40	0.11	0.09	ND	ND	ND	0.30	0.51	1.03	ND	1.27	2.86	16.92	10.26	1.69	0.48	2.53	1.65	3.95	ND	1.60	9.16	8.12	4.17	199.46	1.30	7.12	0.75	0.22	0.36	0.08	0.25	0.57	0.06	0.45	0.16	24.07	14.73	1.35	1.89	1.56	0.57	0.20	37.22	7.13	ND	ND	4.28	6.03	ND	ND	2.19	9.27	ND	7.99	134.39	43.93	117.17	4.80	0.31	0.35	0.11	ND	ND	2.27	ND	ND	ND	24.09	ND	3.78	5.04	3.82	2.55	5.93	0.79	4.83	1.14	0.47	ND	0.51	0.38	ND	0.25	7.01	3.98	0.72	1.89	ND	16.36	ND	151.10	72.97	14.81	15.62	2.47	16.05	2.09	0.85	ND	ND	9.37	0.17	0.47	5.02	1.51	2.20	0.25	0.41	1.26	0.23	ND	0.16	0.21	3.83	ND	ND	17.75	ND	0.76	0.44	0.49	5.13	63.59	1.98	ND	10.23	ND	3.45	0.98	5.45	52.53	ND	ND	0.25	1.69	0.75	ND	14.69	ND	0.36	8.19	1.41	0.23	ND	ND	0.31	0.34	0.51	0.14	0.13	23.71	0.81	4.96	ND	ND	0.27	ND	4.23
																																																																																																																																																																																						
Total Analytes	181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	178	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
